Name,Latitude,Longitude,Direction,Type,Experience
Arugam Bay,6.84073903,81.83699875,Right,Point-break,All surfers
Dalawella,5.999671189,80.26365759,Right and left,Reef-coral,Experienced surfers
Devils rock,5.962862943,80.37994483,Left,Reef-rocky,Experienced surfers
"Dewata, Galle",6.03265123,80.23846466,Right and left,Point-break,All surfers
Elephant rock,6.810079103,81.82424371,Right,Point-break,All surfers
Hikkaduwa,6.137770234,80.09906592,Right and left,Reef-coral,All surfers
Hiriketiya,5.962386801,80.70681094,Left,Point-break,All surfers
Bentota,6.425187899,79.99517158,Right and left,Beach-break,Experienced surfers
Koggala Lefts,5.987887875,80.32378455,Left,Reef-coral,Experienced surfers
Ahangama,5.971969733,80.3637354,Right and left,Reef-coral,Experienced surfers
Madiha,5.93696695,80.51062855,Left,Reef-coral,Experienced surfers
Matara,5.938854101,80.57029861,Right,Sand-bar,All surfers
Midigama Left (market),5.964753996,80.39085931,Left,Point-break,All surfers
Midigama Right,5.964855249,80.38364316,Right,Reef-rocky,Experienced surfers
Mirissa,5.944910464,80.45784278,Right,Reef-coral,All surfers
Okanda,6.650268286,81.77620686,Right,Point-break,Experienced surfers
Peanuts Farm,6.796445101,81.8214094,Right,Point-break,All surfers
Pottuvil Point,6.890232732,81.84293345,Right,Point-break,All surfers
Rockside Induruwa,6.390373433,80.00656863,Right and left,Reef-rocky,All surfers
South Beach,5.982663888,80.33681613,Right and left,Reef-rocky,All surfers
Thalpe,5.995275018,80.28788685,Right and left,Reef-rocky,All surfers
Thalyadi,9.630154152,80.40368838,Right and left,Reef-coral,All surfers
Unawatuna,6.008332771,80.24446294,Right,Reef-rocky,All surfers
Weligama,5.972030384,80.43099938,Right and left,Beach-break,All surfers
Whiskey Point,6.905261097,81.84463626,Right,Point-break,All surfers
