%
%
% Run:1     Table:DEEP              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.01910        1.9895         0.000        7.8188      0.000000 
      0.08508        9.0027       139.641        7.8188      0.000000 
      0.08904        8.5072       138.254        7.8188      0.000000 
      0.09276        8.4484       137.617        7.8188      0.000000 
      0.11387        8.5045       131.669        7.8188      0.000000 
      0.08788        6.4108       141.884        7.8188      0.000000 
      0.07760        6.3645       173.213        7.8188      0.000000 
      0.07819        6.3649       176.944        7.8188      0.000000 
      0.09924        7.1684       141.795        7.8188      0.000000 
      0.10068        7.0695       140.704        7.8188      0.000000 
      0.07893        6.3625       152.605        7.8188      0.000000 
      0.07918        5.8717       192.607        7.8188      0.000000 
      0.11219        5.4876       266.606        7.8188      0.000000 
      0.11518        5.4444       266.600        7.8188      0.000000 
      0.10857        5.6221       261.188        7.8188      0.000000 
      0.10970        5.5872       263.434        7.8188      0.000000 
      0.10578        5.5807       259.885        7.8188      0.000000 
      0.11568        5.1488       266.508        7.8188      0.000000 
      0.07759       10.3813       153.403        7.8188      0.000000 
      0.07516       10.3583       148.925        7.8188      0.000000 
      0.07811        9.9281       148.211        7.8188      0.000000 
      0.09231        6.0280       236.103        7.8188      0.000000 
      0.10127        6.3488       245.808        7.8188      0.000000 
      0.10519        6.4598       246.539        7.8188      0.000000 
      0.10214        7.1119       240.949        7.8188      0.000000 
      0.09098        7.3005       156.146        7.8188      0.000000 
      0.08340        7.1395       158.397        7.8188      0.000000 
      1.45232        5.0077       327.091        7.8188      0.000000 
      1.65295        5.7382       322.411        7.8188      0.000000 
      1.80176        5.9770       320.924        7.8188      0.000000 
      0.22523       12.7090       276.493        7.8188      0.000000 
      0.17703       13.4555       269.119        7.8188      0.000000 
      0.18999       13.3580       271.947        7.8188      0.000000 
      0.19038       13.2366       271.752        7.8188      0.000000 
      0.17473       13.2897       269.070        7.8188      0.000000 
      0.16510       13.3469       268.666        7.8188      0.000000 
      0.16619       13.3506       268.576        7.8188      0.000000 
      0.16678       13.1473       264.369        7.8188      0.000000 
      0.16774       12.9144       263.641        7.8188      0.000000 
      0.17052       12.7252       263.556        7.8188      0.000000 
      0.17648       12.5966       268.362        7.8188      0.000000 
      0.16340       12.3558       268.099        7.8188      0.000000 
      0.15981       12.1936       267.763        7.8188      0.000000 
      0.16126       12.1198       267.539        7.8188      0.000000 
      0.15982       12.0483       267.340        7.8188      0.000000 
      0.14728       11.9932       263.110        7.8188      0.000000 
      0.14284       11.9290       261.953        7.8188      0.000000 
      0.14031       11.8317       261.644        7.8188      0.000000 
      0.13267       11.7291       261.546        7.8188      0.000000 
      0.12607       11.4645       261.189        7.8188      0.000000 
      0.12000       11.1404       260.966        7.8188      0.000000 
      0.11411       10.9519       260.756        7.8188      0.000000 
      0.10494       10.8356       254.486        7.8188      0.000000 
      0.09938       10.7952       252.921        7.8188      0.000000 
      0.11530       10.6159       269.337        7.8188      0.000000 
      0.10948       10.5913       268.967        7.8188      0.000000 
      0.09235       10.7223       256.517        7.8188      0.000000 
