%
%
% Run:1     Table:MID               SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000       50.4462      0.000000 
      0.00635        1.8424       322.354       50.4462      0.000000 
      0.00737        6.4185       299.576       50.4462      0.000000 
      0.00045        6.5147       303.478       50.4462      0.000000 
      0.00017        6.5188        35.482       50.4462      0.000000 
      0.00110        6.5916        33.512       50.4462      0.000000 
      0.00176        6.6624        46.391       50.4462      0.000000 
      0.00615        6.4703       297.109       50.4462      0.000000 
      0.02239        6.0048       300.601       50.4462      0.000000 
      0.00699        5.8015       286.120       50.4462      0.000000 
      0.00697        5.8015       285.701       50.4462      0.000000 
      0.00900        5.8645       289.571       50.4462      0.000000 
      0.00776        5.8912       289.292       50.4462      0.000000 
      0.00675        6.1610       288.437       50.4462      0.000000 
      0.00620        6.2464       287.673       50.4462      0.000000 
      0.00624        6.3327       288.387       50.4462      0.000000 
      0.00470        6.4050       288.716       50.4462      0.000000 
      0.00287        6.6061       285.474       50.4462      0.000000 
      0.00198        7.0397       285.863       50.4462      0.000000 
      0.00120        7.2641       287.868       50.4462      0.000000 
      0.00103        7.2772       297.859       50.4462      0.000000 
      0.03315        7.1775       300.592       50.4462      0.000000 
      0.11274        6.5640       302.857       50.4462      0.000000 
      0.57197        6.3301       315.381       50.4462      0.000000 
      1.56389        5.7403       335.387       50.4462      0.000000 
      1.11411        7.7331       319.291       50.4462      0.000000 
      0.82868        9.0320       312.106       50.4462      0.000000 
      0.79518        9.2222       310.794       50.4462      0.000000 
      0.79660        9.3757       310.215       50.4462      0.000000 
      0.22639       10.7591       302.432       50.4462      0.000000 
      0.03212       11.5484       298.346       50.4462      0.000000 
      0.00603       12.3824       285.958       50.4462      0.000000 
      0.00358       12.0006       286.607       50.4462      0.000000 
      0.00375       12.0578       287.437       50.4462      0.000000 
      0.00349       12.0117       287.131       50.4462      0.000000 
      0.00441       12.0606       287.071       50.4462      0.000000 
      0.00412       12.1103       286.713       50.4462      0.000000 
      0.00340       12.0794       285.106       50.4462      0.000000 
      0.00345       12.0267       285.088       50.4462      0.000000 
      0.00412       11.9476       285.969       50.4462      0.000000 
      0.00317       11.8672       286.141       50.4462      0.000000 
      0.00293       11.8658       285.940       50.4462      0.000000 
      0.00206       11.7538       286.946       50.4462      0.000000 
      0.00118       11.5741       289.666       50.4462      0.000000 
      0.00109       11.2424       289.478       50.4462      0.000000 
      0.00212       11.0833       287.359       50.4462      0.000000 
      0.00211       10.7360       287.486       50.4462      0.000000 
      0.00141       10.7433       285.606       50.4462      0.000000 
      0.00131       10.6784       285.584       50.4462      0.000000 
      0.00124       10.6462       285.573       50.4462      0.000000 
      0.00117       10.6193       285.560       50.4462      0.000000 
      0.00145       10.5733       285.926       50.4462      0.000000 
      0.00107       10.4901       286.724       50.4462      0.000000 
      0.00065       10.4406       288.475       50.4462      0.000000 
      0.00064       10.3910       288.375       50.4462      0.000000 
      0.00103       10.2638       286.307       50.4462      0.000000 
      0.00074        9.9034       288.777       50.4462      0.000000 
