%
%
% Run:1     Table:SURF              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000      165.5762      0.000000 
      0.00964        1.8749        29.324      165.5762      0.000000 
      0.00291        8.9685        37.810      165.5762      0.000000 
      0.00207        8.6706        43.988      165.5762      0.000000 
      0.00607        8.6666        44.122      165.5762      0.000000 
      0.00218        7.5537        46.050      165.5762      0.000000 
      0.00018        6.5049        46.111      165.5762      0.000000 
      0.00010        6.5447        46.893      165.5762      0.000000 
      0.00138        7.1845        46.268      165.5762      0.000000 
      0.00082        7.2880        46.251      165.5762      0.000000 
      0.00042        7.0013        46.906      165.5762      0.000000 
      0.00006        6.3874        45.244      165.5762      0.000000 
      0.00008        6.0084       359.877      165.5762      0.000000 
      0.00001        5.9269        40.085      165.5762      0.000000 
      0.00001        6.0775        47.251      165.5762      0.000000 
      0.00001        6.1146        38.587      165.5762      0.000000 
      0.00001        5.9868        47.583      165.5762      0.000000 
      0.00001        5.3544       333.435      165.5762      0.000000 
      0.00063        9.5173        43.179      165.5762      0.000000 
      0.00019       10.4297        42.455      165.5762      0.000000 
      0.00028       10.2726        42.526      165.5762      0.000000 
      0.00013        8.1936        37.799      165.5762      0.000000 
      0.00003        6.4503        46.837      165.5762      0.000000 
      0.00004        6.5518        47.040      165.5762      0.000000 
      0.00005        7.2359        46.133      165.5762      0.000000 
      0.00048        7.4398        45.789      165.5762      0.000000 
      0.00012        7.3373        46.246      165.5762      0.000000 
      0.23626        5.1139       356.259      165.5762      0.000000 
      0.92178        5.5838         0.073      165.5762      0.000000 
      0.91284        5.8807       358.101      165.5762      0.000000 
      0.08799        2.4780       359.785      165.5762      0.000000 
      0.01316       -9.0000         1.890      165.5762      0.000000 
      0.00149       -9.0000         6.344      165.5762      0.000000 
      0.00014       13.3166        24.305      165.5762      0.000000 
      0.00007       13.3477        35.442      165.5762      0.000000 
      0.00007       13.4095        36.243      165.5762      0.000000 
      0.00007       13.4234        36.180      165.5762      0.000000 
      0.00005       13.0783        35.923      165.5762      0.000000 
      0.00007       12.6301        38.558      165.5762      0.000000 
      0.00007       12.4906        38.652      165.5762      0.000000 
      0.00005       13.0737        31.911      165.5762      0.000000 
      0.00007       12.5348        37.089      165.5762      0.000000 
      0.00006       12.3113        37.379      165.5762      0.000000 
      0.00006       12.2023        37.624      165.5762      0.000000 
      0.00006       12.1260        37.926      165.5762      0.000000 
      0.00005       11.9851        37.855      165.5762      0.000000 
      0.00006       11.8586        40.185      165.5762      0.000000 
      0.00006       11.7435        40.421      165.5762      0.000000 
      0.00006       11.6100        40.612      165.5762      0.000000 
      0.00006       11.2598        40.840      165.5762      0.000000 
      0.00005       10.9835        41.010      165.5762      0.000000 
      0.00005       10.8491        41.161      165.5762      0.000000 
      0.00009       10.8654        41.029      165.5762      0.000000 
      0.00010       10.8036        41.271      165.5762      0.000000 
      0.00006       10.6295        35.427      165.5762      0.000000 
      0.00005       10.6550        40.976      165.5762      0.000000 
      0.00007       10.7267        41.205      165.5762      0.000000 
