%
%
% Run:1     Table:DEEP              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.71655        8.6095       155.998      132.5518      0.000000 
      0.71665        8.6106       156.082      132.5518      0.000000 
      0.71843        8.6098       155.813      132.5518      0.000000 
      0.73853        8.6095       155.785      132.5518      0.000000 
      0.73838        8.6095       154.811      132.5518      0.000000 
      0.75859        8.5243       154.825      132.5518      0.000000 
      0.76039        8.4185       154.808      132.5518      0.000000 
      0.78442        8.3322       155.781      132.5518      0.000000 
      0.78692        8.2940       155.769      132.5518      0.000000 
      0.78584        8.3114       155.759      132.5518      0.000000 
      0.76467        8.3313       155.728      132.5518      0.000000 
      0.76782        8.2771       155.747      132.5518      0.000000 
      0.72836        7.4517       129.142      132.5518      0.000000 
      0.63822        6.5393       108.459      132.5518      0.000000 
      0.49008        6.2859        87.018      132.5518      0.000000 
      0.64341        6.5014       108.108      132.5518      0.000000 
      0.73875        7.3489       128.267      132.5518      0.000000 
      0.77323        8.1992       154.748      132.5518      0.000000 
      0.77188        8.2417       155.230      132.5518      0.000000 
      0.76727        8.1778       155.533      132.5518      0.000000 
      0.76161        8.0518       155.657      132.5518      0.000000 
      0.75912        7.8708       155.707      132.5518      0.000000 
      0.73891        7.5794       155.698      132.5518      0.000000 
      0.74144        7.4101       155.724      132.5518      0.000000 
      0.74676        7.3184       155.739      132.5518      0.000000 
