%
%
% Run:1     Table:MID               SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000        8.0046      0.000000 
      0.30012        5.5711        97.215        8.0046      0.000000 
      0.30812        5.5267        96.551        8.0046      0.000000 
      0.32310        5.5338        96.948        8.0046      0.000000 
      0.34451        5.6092        97.838        8.0046      0.000000 
      0.36890        5.4714        97.911        8.0046      0.000000 
      0.41284        5.0226        97.836        8.0046      0.000000 
      0.41658        5.0184        97.496        8.0046      0.000000 
      0.39052        5.0193        96.624        8.0046      0.000000 
      0.38314        5.0025        95.918        8.0046      0.000000 
      0.39319        4.9863        95.826        8.0046      0.000000 
      0.38828        4.9629        95.757        8.0046      0.000000 
      0.37461        4.9278        95.657        8.0046      0.000000 
      0.33517        4.9791        95.526        8.0046      0.000000 
      0.27863        5.3803        95.217        8.0046      0.000000 
      0.27413        5.3400        94.958        8.0046      0.000000 
      0.33199        4.9049        94.923        8.0046      0.000000 
      0.35476        4.9001        94.935        8.0046      0.000000 
      0.34345        4.9637        94.682        8.0046      0.000000 
      0.33022        5.0881        95.032        8.0046      0.000000 
      0.32118        5.5610        95.760        8.0046      0.000000 
      0.31990        5.6830        96.066        8.0046      0.000000 
      0.33619        5.6675        95.782        8.0046      0.000000 
      0.34202        5.6847        95.727        8.0046      0.000000 
      0.34069        5.7794        95.742        8.0046      0.000000 
      0.34174        5.8482        95.701        8.0046      0.000000 
      0.35045        5.8489        95.436        8.0046      0.000000 
      0.61998        6.0733       102.937        8.0046      0.000000 
      0.74912        6.4387       130.988        8.0046      0.000000 
      0.72418        6.4718       143.615        8.0046      0.000000 
      0.70308        6.4552       134.509        8.0046      0.000000 
      0.67803        6.3356       126.062        8.0046      0.000000 
      0.67516        5.6660       117.094        8.0046      0.000000 
      0.66633        5.6238       116.453        8.0046      0.000000 
      0.63441        5.6412       122.229        8.0046      0.000000 
      0.61541        5.6597       111.772        8.0046      0.000000 
      0.50952        5.8207       100.931        8.0046      0.000000 
      0.41440        6.2134        98.075        8.0046      0.000000 
      0.41261        6.3720        98.323        8.0046      0.000000 
      0.37454        6.3693        98.383        8.0046      0.000000 
      0.31815        6.2133        97.842        8.0046      0.000000 
      0.26963        6.1601        97.547        8.0046      0.000000 
      0.23415        5.9775        97.235        8.0046      0.000000 
      0.25428        6.0329        99.673        8.0046      0.000000 
      0.29275        6.3503       104.370        8.0046      0.000000 
      0.30778        6.4500       113.985        8.0046      0.000000 
      0.31472        6.4988       146.646        8.0046      0.000000 
      0.30936        6.5462       170.092        8.0046      0.000000 
      0.30599        6.6232       174.805        8.0046      0.000000 
      0.30169        6.5659       176.114        8.0046      0.000000 
      0.30043        6.4642       175.967        8.0046      0.000000 
      0.31550        6.7094       174.256        8.0046      0.000000 
      0.33216        7.3379       172.409        8.0046      0.000000 
      0.32101        7.5087       170.339        8.0046      0.000000 
      0.30542        8.0043       167.662        8.0046      0.000000 
