%
%
% Run:1     Table:SURF              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000        6.7244      0.000000 
      0.24046        6.7994       156.963        6.7244      0.000000 
      0.27573        7.7288       164.093        6.7244      0.000000 
      0.29094        8.0813       176.620        6.7244      0.000000 
      0.28845        7.4885       176.165        6.7244      0.000000 
      0.29199        7.1422       174.323        6.7244      0.000000 
      0.30034        6.7410       173.335        6.7244      0.000000 
      0.30924        6.4412       172.896        6.7244      0.000000 
      0.31777        6.4075       173.496        6.7244      0.000000 
      0.32944        5.9286       175.013        6.7244      0.000000 
      0.34753        6.2574       177.513        6.7244      0.000000 
      0.32713        6.7947       178.947        6.7244      0.000000 
      0.31964        6.5479       178.948        6.7244      0.000000 
      0.31948        6.5112       179.077        6.7244      0.000000 
      0.31110        6.4911       179.655        6.7244      0.000000 
      0.30656        6.4477       180.084        6.7244      0.000000 
      0.29989        6.4118       178.534        6.7244      0.000000 
      0.29169        6.4144       176.593        6.7244      0.000000 
      0.28653        6.5011       178.017        6.7244      0.000000 
      0.28630        6.5208       179.498        6.7244      0.000000 
      0.29701        6.4679       179.751        6.7244      0.000000 
      0.26554        5.7476       157.213        6.7244      0.000000 
      0.12720        5.6247       140.170        6.7244      0.000000 
      0.11023        5.5262       138.529        6.7244      0.000000 
      0.11144        5.6154       139.172        6.7244      0.000000 
      0.10960        5.6598       139.917        6.7244      0.000000 
      0.10674        5.6602       139.765        6.7244      0.000000 
      0.11077        5.5806       139.190        6.7244      0.000000 
      0.11307        5.5855       138.457        6.7244      0.000000 
      0.10522        5.6247       139.118        6.7244      0.000000 
      0.09813        5.2534       137.175        6.7244      0.000000 
      0.09449        5.0931       136.622        6.7244      0.000000 
      0.12459        5.0619       137.210        6.7244      0.000000 
      0.13767        5.0717       135.770        6.7244      0.000000 
      0.17508        5.5655       140.641        6.7244      0.000000 
      0.19785        5.6725       140.775        6.7244      0.000000 
      0.20814        5.7200       141.580        6.7244      0.000000 
      0.21818        5.8031       142.375        6.7244      0.000000 
      0.22466        6.0418       142.774        6.7244      0.000000 
      0.23293        6.2811       143.552        6.7244      0.000000 
      0.24031        6.3842       144.209        6.7244      0.000000 
      0.24643        6.6191       146.040        6.7244      0.000000 
      0.25712        7.2346       148.733        6.7244      0.000000 
      0.24554        7.3061       149.106        6.7244      0.000000 
      0.25938        7.9177       150.974        6.7244      0.000000 
      0.28135        8.3029       153.066        6.7244      0.000000 
      0.29981        8.8814       154.446        6.7244      0.000000 
      0.30594        9.1070       154.951        6.7244      0.000000 
      0.32101        9.1258       155.081        6.7244      0.000000 
      0.28815        8.5651       153.906        6.7244      0.000000 
      0.24873        8.3443       153.268        6.7244      0.000000 
      0.22389        8.2937       153.126        6.7244      0.000000 
      0.20888        8.2881       153.240        6.7244      0.000000 
      0.19995        8.2893       153.412        6.7244      0.000000 
      0.18743        7.4374       150.154        6.7244      0.000000 
      0.17509        7.2965       149.689        6.7244      0.000000 
      0.16747        7.3031       150.095        6.7244      0.000000 
