%
%
% Run:1     Table:DEEP              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000       63.5047      0.000000 
      0.47825        8.2228       131.668       63.5047      0.000000 
      0.28950        5.5769       139.061       63.5047      0.000000 
      0.32317        6.2503       139.983       63.5047      0.000000 
      0.35279        6.3296       140.042       63.5047      0.000000 
      0.37562        6.3552       140.039       63.5047      0.000000 
      0.31859        6.2177       142.135       63.5047      0.000000 
      0.57287        6.5251       134.770       63.5047      0.000000 
      0.28004        5.5489       145.037       63.5047      0.000000 
      0.25984        5.7174       147.821       63.5047      0.000000 
      0.25619        5.7578       145.451       63.5047      0.000000 
      0.25913        5.7824       145.417       63.5047      0.000000 
      0.27028        5.7891       144.821       63.5047      0.000000 
      0.27863        5.8934       144.174       63.5047      0.000000 
      0.30392        6.1726       143.490       63.5047      0.000000 
      0.31567        6.2646       143.431       63.5047      0.000000 
      0.47528        6.4491       138.637       63.5047      0.000000 
      0.40781        6.4572       140.717       63.5047      0.000000 
      0.43172        7.1343       139.996       63.5047      0.000000 
      0.42104        7.2304       139.994       63.5047      0.000000 
      0.45910        7.2531       138.430       63.5047      0.000000 
      0.47876        7.2850       137.743       63.5047      0.000000 
      0.48711        7.2923       137.397       63.5047      0.000000 
      0.24487        6.6075       249.268       63.5047      0.000000 
      1.42982        5.2641       327.036       63.5047      0.000000 
      1.85003        5.6692       334.765       63.5047      0.000000 
      0.40122       13.2927       143.505       63.5047      0.000000 
      0.86028        9.3647       302.884       63.5047      0.000000 
      0.43778       12.9525       144.711       63.5047      0.000000 
      0.91908        9.5935       302.237       63.5047      0.000000 
      0.46110       13.3368       143.755       63.5047      0.000000 
      0.46686       13.4030       139.687       63.5047      0.000000 
      0.73661       12.1962       137.620       63.5047      0.000000 
      0.72818       12.1809       138.065       63.5047      0.000000 
      0.67031       12.1796       138.481       63.5047      0.000000 
      0.68394       12.1262       138.553       63.5047      0.000000 
      0.64944       12.2438       138.881       63.5047      0.000000 
      0.58018       12.2566       138.978       63.5047      0.000000 
      0.58142       12.1531       138.994       63.5047      0.000000 
      0.58882       12.0816       139.031       63.5047      0.000000 
      0.59045       12.0108       139.087       63.5047      0.000000 
      0.61648       11.9609       138.696       63.5047      0.000000 
      0.61248       11.8447       138.404       63.5047      0.000000 
      0.56331       11.8907       138.439       63.5047      0.000000 
      0.52143       11.7684       138.520       63.5047      0.000000 
      0.47380       11.6541       138.589       63.5047      0.000000 
      0.41323       11.1669       138.993       63.5047      0.000000 
      0.37498       10.9425       139.116       63.5047      0.000000 
      0.34457       10.8224       139.156       63.5047      0.000000 
      0.32167       10.7457       139.189       63.5047      0.000000 
      0.30304       10.6920       139.222       63.5047      0.000000 
      0.28755       10.6699       139.238       63.5047      0.000000 
      0.28710       10.6336       138.858       63.5047      0.000000 
      0.28032       10.5844       138.929       63.5047      0.000000 
      0.27283       10.5502       138.965       63.5047      0.000000 
      0.26858       10.4845       139.019       63.5047      0.000000 
      0.28187       10.4200       138.655       63.5047      0.000000 
