%
%
% Run:1     Table:MID               SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000       65.9512      0.000000 
      0.11971        8.1766        98.436       65.9512      0.000000 
      0.06153        6.0433       105.715       65.9512      0.000000 
      0.04417        6.1661       108.823       65.9512      0.000000 
      0.04554        6.3549       109.532       65.9512      0.000000 
      0.04870        6.3728       109.458       65.9512      0.000000 
      0.03894        6.2609       110.653       65.9512      0.000000 
      0.11345        6.5165       103.030       65.9512      0.000000 
      0.04859        5.7050       109.038       65.9512      0.000000 
      0.02398        5.7103       112.135       65.9512      0.000000 
      0.02144        5.7821       114.450       65.9512      0.000000 
      0.02169        5.8042       114.372       65.9512      0.000000 
      0.02387        5.8149       113.725       65.9512      0.000000 
      0.02570        5.9255       113.267       65.9512      0.000000 
      0.02911        6.2029       112.564       65.9512      0.000000 
      0.03010        6.2923       112.635       65.9512      0.000000 
      0.07079        6.4517       106.433       65.9512      0.000000 
      0.05585        6.4715       108.462       65.9512      0.000000 
      0.05707        7.1118       106.960       65.9512      0.000000 
      0.05488        7.2538       106.800       65.9512      0.000000 
      0.06973        7.2723       105.007       65.9512      0.000000 
      0.07700        7.3022       104.554       65.9512      0.000000 
      0.08057        7.3109       104.315       65.9512      0.000000 
      0.03535        6.8128       338.739       65.9512      0.000000 
      0.80595        5.4617       338.971       65.9512      0.000000 
      1.54451        5.6194       347.671       65.9512      0.000000 
      0.15882       13.1689       350.066       65.9512      0.000000 
      0.28111        9.4065       320.773       65.9512      0.000000 
      0.05979       12.7070        83.305       65.9512      0.000000 
      0.29587        9.6389       320.204       65.9512      0.000000 
      0.06458       13.1691        84.437       65.9512      0.000000 
      0.06510       13.4641        93.977       65.9512      0.000000 
      0.11607       12.3169        93.679       65.9512      0.000000 
      0.11273       12.2456        93.853       65.9512      0.000000 
      0.10157       12.2459        94.057       65.9512      0.000000 
      0.10016       12.1906        94.274       65.9512      0.000000 
      0.09527       12.3122        94.190       65.9512      0.000000 
      0.08423       12.3446        94.393       65.9512      0.000000 
      0.08320       12.2291        94.617       65.9512      0.000000 
      0.08388       12.1415        94.769       65.9512      0.000000 
      0.08372       12.0647        94.992       65.9512      0.000000 
      0.09036       12.0111        94.903       65.9512      0.000000 
      0.09231       11.9128        95.160       65.9512      0.000000 
      0.08508       11.9366        95.330       65.9512      0.000000 
      0.07846       11.8498        95.703       65.9512      0.000000 
      0.07134       11.7558        96.024       65.9512      0.000000 
      0.06161       11.4526        96.442       65.9512      0.000000 
      0.05417       11.1059        96.846       65.9512      0.000000 
      0.04958       10.9314        97.033       65.9512      0.000000 
      0.04605       10.8263        97.212       65.9512      0.000000 
      0.04321       10.7567        97.382       65.9512      0.000000 
      0.04090       10.7256        97.470       65.9512      0.000000 
      0.04228       10.6842        97.393       65.9512      0.000000 
      0.04077       10.6336        97.735       65.9512      0.000000 
      0.03955       10.5982        97.914       65.9512      0.000000 
      0.03868       10.5422        98.204       65.9512      0.000000 
      0.04193       10.4854        98.213       65.9512      0.000000 
