%
%
% Run:1     Table:SURF              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000       71.7898      0.000000 
      0.02026        6.4268        67.256       71.7898      0.000000 
      0.01775        6.4257        79.994       71.7898      0.000000 
      0.03053        6.4923        81.329       71.7898      0.000000 
      0.04912        6.5951        80.717       71.7898      0.000000 
      0.03780        6.5347        81.437       71.7898      0.000000 
      0.01863        6.2457        82.326       71.7898      0.000000 
      0.00699        5.9113        83.723       71.7898      0.000000 
      0.00699        5.9133        83.692       71.7898      0.000000 
      0.00785        5.9851        83.433       71.7898      0.000000 
      0.00869        6.1228        83.218       71.7898      0.000000 
      0.00919        6.2712        83.154       71.7898      0.000000 
      0.01019        6.3560        82.980       71.7898      0.000000 
      0.01330        6.4319        82.465       71.7898      0.000000 
      0.01648        6.4996        82.061       71.7898      0.000000 
      0.01885        6.6782        81.573       71.7898      0.000000 
      0.02186        7.2058        81.028       71.7898      0.000000 
      0.02628        7.3144        80.569       71.7898      0.000000 
      0.03217        7.3312        80.328       71.7898      0.000000 
      0.01985        7.2536        80.926       71.7898      0.000000 
      0.00762        6.9379        57.060       71.7898      0.000000 
      0.06047        6.4173       351.308       71.7898      0.000000 
      0.66194        5.8069         1.937       71.7898      0.000000 
      0.38707        7.2155       358.140       71.7898      0.000000 
      0.10379        8.5781       351.766       71.7898      0.000000 
      0.04300        9.3020       343.501       71.7898      0.000000 
      0.03629        9.4227       341.790       71.7898      0.000000 
      0.00968       11.2525        60.618       71.7898      0.000000 
      0.03557       12.6529        74.952       71.7898      0.000000 
      0.04071       12.9146        75.051       71.7898      0.000000 
      0.04981       12.2489        75.153       71.7898      0.000000 
      0.04886       12.1835        75.213       71.7898      0.000000 
      0.04671       12.1526        75.293       71.7898      0.000000 
      0.04326       12.1813        75.326       71.7898      0.000000 
      0.03914       12.2541        75.372       71.7898      0.000000 
      0.03728       12.2098        75.420       71.7898      0.000000 
      0.03763       12.1181        75.491       71.7898      0.000000 
      0.03954       12.0561        75.515       71.7898      0.000000 
      0.04089       11.9915        75.607       71.7898      0.000000 
      0.04024       11.9651        75.654       71.7898      0.000000 
      0.03902       11.9306        75.750       71.7898      0.000000 
      0.03569       11.8681        75.916       71.7898      0.000000 
      0.03255       11.7379        76.099       71.7898      0.000000 
      0.02960       11.5760        76.222       71.7898      0.000000 
      0.02580       11.1248        76.403       71.7898      0.000000 
      0.02277       10.9483        76.491       71.7898      0.000000 
      0.02099       10.8265        76.582       71.7898      0.000000 
      0.01968       10.7720        76.627       71.7898      0.000000 
      0.01855       10.7260        76.689       71.7898      0.000000 
      0.01859       10.6856        76.720       71.7898      0.000000 
      0.01864       10.6342        76.812       71.7898      0.000000 
      0.01789       10.5956        76.928       71.7898      0.000000 
      0.01742       10.5464        77.038       71.7898      0.000000 
      0.01818       10.4804        77.104       71.7898      0.000000 
      0.01894       10.3798        77.232       71.7898      0.000000 
