%
%
% Run:1     Table:DEEP              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
     -9.00000       -9.0000      -999.000      -99.0000     -1.000000 
