%
%
% Run:1     Table:MID               SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000        1.5015      0.000000 
      0.27756        5.1186       238.668        1.5015      0.000000 
      0.27560        4.9126       237.470        1.5015      0.000000 
      0.33440        6.8742       243.652        1.5015      0.000003 
      0.32716        6.4667       244.187        1.5015      0.000002 
      0.33611        6.1606       242.743        1.5015      0.000004 
      0.33538        5.8291       242.054        1.5015      0.000003 
      0.33356        5.7607       241.761        1.5015      0.000003 
      0.33454        5.7338       241.578        1.5015      0.000003 
      0.33742        5.7130       241.426        1.5015      0.000004 
      0.34164        5.6957       241.242        1.5015      0.000005 
      0.34535        5.7282       241.411        1.5015      0.000006 
      0.34697        5.7528       241.659        1.5015      0.000007 
      0.35629        5.7756       241.779        1.5015      0.000012 
      0.36093        5.7865       241.841        1.5015      0.000015 
      0.38317        6.2635       242.775        1.5015      0.000046 
      0.40057        6.4823       243.933        1.5015      0.000099 
      0.40777        6.5428       244.399        1.5015      0.000132 
      0.41080        6.5432       244.424        1.5015      0.000145 
      0.40530        6.5177       244.310        1.5015      0.000121 
      0.39474        6.0887       242.620        1.5015      0.000075 
      0.42122        6.3257       243.274        1.5015      0.000180 
      0.43108        6.4475       244.021        1.5015      0.000250 
      0.43958        6.4249       243.847        1.5015      0.000306 
      0.43861        5.9741       242.423        1.5015      0.000276 
      0.44049        5.7804       241.831        1.5015      0.000275 
      0.48162        6.3243       276.046        1.5015      0.000385 
      0.60492        6.6961       294.859        1.5015      0.003097 
      0.61396        7.1866       295.752        1.5015      0.003686 
      0.42070       12.9450       254.272        1.5015      0.000380 
      0.45231       13.4912       253.506        1.5015      0.000734 
      0.45885       13.1425       253.198        1.5015      0.000835 
      0.48632       12.5046       252.968        1.5015      0.001320 
      0.51730       12.4853       252.981        1.5015      0.002051 
      0.65713       10.2840       281.326        1.5015      0.004973 
      0.49053       11.9927       256.680        1.5015      0.002418 
      0.49786       12.5626       253.007        1.5015      0.001583 
      0.49058       12.3440       252.893        1.5015      0.001416 
      0.48909       12.1836       252.737        1.5015      0.001367 
      0.49779       12.0426       252.498        1.5015      0.001530 
      0.50240       12.0148       252.461        1.5015      0.001627 
      0.49867       11.8930       252.218        1.5015      0.001527 
      0.48193       11.8752       252.170        1.5015      0.001177 
      0.46203       11.8003       252.080        1.5015      0.000826 
      0.43868       11.7735       252.070        1.5015      0.000504 
      0.41268       11.4577       251.883        1.5015      0.000252 
      0.38790       11.1511       251.837        1.5015      0.000108 
      0.36388       10.9618       251.785        1.5015      0.000039 
      0.33883       10.8024       251.670        1.5015      0.000010 
      0.31436       10.7513       251.629        1.5015      0.000002 
      0.29602       10.7019       251.557        1.5015      0.000000 
      0.28183       10.6590       251.480        1.5015      0.000000 
      0.27425       10.6073       251.354        1.5015      0.000000 
      0.26976       10.6258       251.395        1.5015      0.000000 
      0.27622       10.5558       251.226        1.5015      0.000000 
      0.27787       10.4496       250.993        1.5015      0.000000 
      0.28369       10.2980       250.796        1.5015      0.000000 
