time,u10,v10,msl,shts,mpts,mdts
2020-01-01 00:00:00,-5.5616455,-3.723587,101121.31,1.1022949,8.26936,150.86086
2020-01-01 06:00:00,-6.6712494,-2.2142181,101405.44,0.9335695,8.5331745,155.03151
2020-01-01 12:00:00,-7.4112396,-0.5096741,101135.875,1.0644531,8.629595,154.90657
2020-01-01 18:00:00,-6.2709503,-3.702301,101350.625,0.88970524,8.335207,155.18755
2020-01-02 00:00:00,-5.414551,-3.4048767,101235.875,1.0012207,7.9299345,141.40646
2020-01-02 06:00:00,-6.816635,-2.4706268,101485.69,1.0350342,8.658144,153.31467
2020-01-02 12:00:00,-7.783142,-0.28886414,101206.69,1.0534368,9.084762,155.90675
2020-01-02 18:00:00,-5.982773,-2.8654785,101408.94,1.2151272,8.600014,143.99329
2020-01-03 00:00:00,-6.7227936,-2.9237366,101181.69,1.1887207,9.356873,154.22826
2020-01-03 06:00:00,-7.7490997,-2.6527405,101380.06,1.2062988,9.706572,159.23518
2020-01-03 12:00:00,-6.4117737,-1.9087524,101046.125,1.3977051,8.750168,138.81361
2020-01-03 18:00:00,-5.693634,-2.471405,101233.81,1.379375,8.969809,143.64963
2020-01-04 00:00:00,-4.720413,-3.9336548,101084.06,1.385376,8.800171,139.79128
2020-01-04 06:00:00,-5.77211,-2.622116,101208.31,1.3414307,8.698122,138.70499
2020-01-04 12:00:00,-5.094101,-1.7745056,100920.75,1.3364441,8.386891,135.38316
2020-01-04 18:00:00,-3.7625885,-2.719986,101186.06,1.2816162,8.353403,137.14261
2020-01-05 00:00:00,-3.9537506,-4.8538513,100964.0,1.1983643,8.4267845,141.5787
2020-01-05 06:00:00,-6.4799194,-3.4886627,101151.44,1.0075684,8.533955,148.01299
2020-01-05 12:00:00,-7.961029,-1.7971344,100907.75,1.076416,8.178393,141.97008
2020-01-05 18:00:00,-7.62796,-5.223297,101129.69,0.8237362,8.030507,149.43068
2020-01-06 00:00:00,-7.1660156,-5.25502,101080.25,0.83691406,7.915868,143.66545
2020-01-06 06:00:00,-6.1124725,-4.725601,101283.44,0.8644233,7.5322227,130.33891
2020-01-06 12:00:00,-8.372589,-3.9671478,100987.25,0.8865967,8.22053,146.67244
2020-01-06 18:00:00,-7.3739166,-5.3760986,101223.75,0.8239746,8.154974,136.51595
2020-01-07 00:00:00,-7.1697235,-5.4910126,101048.69,1.0175781,8.56892,138.87164
2020-01-07 06:00:00,-7.5977936,-5.347641,101212.19,1.1672363,9.084666,146.9717
2020-01-07 12:00:00,-8.636871,-4.831482,100904.31,1.3662109,9.396649,148.943
2020-01-07 18:00:00,-7.2273254,-5.267395,101157.625,1.4936827,8.968861,139.26309
2020-01-08 00:00:00,-7.6242523,-5.194458,101004.75,1.3574219,9.382008,148.7582
2020-01-08 06:00:00,-5.0785675,-4.8515472,101208.69,1.6253285,8.803554,133.9144
2020-01-08 12:00:00,-2.8426208,-3.2765503,100960.375,1.6335449,8.593706,130.78969
2020-01-08 18:00:00,-4.652405,-3.1562195,101193.5,1.6271249,8.474673,124.707214
2020-01-09 00:00:00,-4.7718506,-4.1418915,101110.69,1.5804443,8.373136,121.591125
2020-01-09 06:00:00,-3.9683838,-4.2636566,101282.375,1.5072546,8.322479,122.87654
2020-01-09 12:00:00,-3.8942566,-1.60112,100908.625,1.4596865,8.182095,121.36844
2020-01-09 18:00:00,-7.157089,-4.6245728,101161.06,1.277191,8.61352,137.7361
2020-01-10 00:00:00,-6.834915,-4.2898254,101088.94,1.3435059,8.17676,125.21886
2020-01-10 06:00:00,-7.3537292,-3.7230682,101280.31,1.208374,8.523727,140.85785
2020-01-10 12:00:00,-7.2458496,-2.839325,101029.56,1.1507568,8.515694,141.91084
2020-01-10 18:00:00,-6.433304,-5.282318,101228.875,1.104126,8.373917,143.89093
2020-01-11 00:00:00,-1.9174194,-3.5688477,101072.81,1.232544,7.5025444,115.57922
2020-01-11 06:00:00,-1.4316711,-4.0123596,101251.75,1.1435547,7.7753935,121.72026
2020-01-11 12:00:00,-6.3575745,-2.436325,100876.56,1.0993652,8.176986,127.024574
2020-01-11 18:00:00,-8.7139435,-5.8824615,101175.0,0.89538574,8.702745,151.20482
2020-01-12 00:00:00,-6.763977,-6.294327,100954.125,1.2723389,7.966735,105.00309
2020-01-12 06:00:00,-5.9781494,-5.3232117,101154.25,1.2442383,8.058788,103.55908
2020-01-12 12:00:00,-6.2641754,-3.6260834,100816.75,1.2995605,7.8487825,97.601906
2020-01-12 18:00:00,-4.454544,-4.676697,101092.625,1.440918,7.599411,85.96156
