%
%
% Run:1     Table:SURF              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000       16.2901      0.000000 
      0.85397        5.1151       191.866       16.2901      0.000000 
      0.90754        6.0073       191.256       16.2901      0.000000 
      0.88784        5.9851       191.571       16.2901      0.000000 
      0.87500        5.7458       192.106       16.2901      0.000000 
      0.86528        5.7131       192.521       16.2901      0.000000 
      0.85993        5.6933       192.772       16.2901      0.000000 
      0.86618        5.6745       192.889       16.2901      0.000000 
      0.87732        5.6603       192.920       16.2901      0.000000 
      0.88596        5.6683       192.851       16.2901      0.000000 
      0.89241        5.6984       192.758       16.2901      0.000000 
      0.90558        5.7196       192.634       16.2901      0.000000 
      0.92610        5.7331       192.503       16.2901      0.000000 
      0.97599        5.8953       192.372       16.2901      0.000000 
      1.01880        6.4234       192.465       16.2901      0.000000 
      1.02313        6.4984       192.489       16.2901      0.000000 
      1.03976        6.4987       192.370       16.2901      0.000000 
      1.04716        6.3120       192.045       16.2901      0.000000 
      1.05769        5.7591       191.867       16.2901      0.000000 
      1.11593        5.8473       191.479       16.2901      0.000000 
      1.17081        6.3405       191.159       16.2901      0.000000 
      1.19825        6.2030       190.909       16.2901      0.000000 
      1.24253        5.7239       190.740       16.2901      0.000000 
      0.96905        5.7696       194.168       16.2901      0.000000 
      0.52801        6.2522       214.477       16.2901      0.000000 
      0.56707        6.5183       339.412       16.2901      0.000000 
      0.74912        7.1429       346.703       16.2901      0.000000 
      0.79926       10.7494       200.854       16.2901      0.000000 
      1.05800       13.3049       201.437       16.2901      0.000000 
      1.11863       13.2046       201.171       16.2901      0.000000 
      1.17689       12.4963       200.582       16.2901      0.000000 
      1.04785       11.6210       199.757       16.2901      0.000000 
      0.74944        9.4821       327.316       16.2901      0.000000 
      0.70918       10.6668       207.505       16.2901      0.000000 
      1.18661       12.3351       200.500       16.2901      0.000000 
      1.19267       12.3485       200.397       16.2901      0.000000 
      1.17832       12.1768       200.229       16.2901      0.000000 
      1.20117       12.0936       199.891       16.2901      0.000000 
      1.22896       12.0256       199.588       16.2901      0.000000 
      1.19687       11.9689       199.465       16.2901      0.000000 
      1.15069       11.9008       199.404       16.2901      0.000000 
      1.08700       11.8543       199.483       16.2901      0.000000 
      1.01474       11.7930       199.563       16.2901      0.000000 
      0.94989       11.6512       199.503       16.2901      0.000000 
      0.87892       11.2240       199.390       16.2901      0.000000 
      0.82029       10.9878       199.318       16.2901      0.000000 
      0.75932       10.8072       199.188       16.2901      0.000000 
      0.71152       10.7544       199.142       16.2901      0.000000 
      0.66424       10.7068       199.071       16.2901      0.000000 
      0.63939       10.6600       198.915       16.2901      0.000000 
      0.61770       10.6106       198.755       16.2901      0.000000 
      0.61925       10.5795       198.616       16.2901      0.000000 
      0.62590       10.5547       198.481       16.2901      0.000000 
      0.63659       10.4465       198.064       16.2901      0.000000 
      0.64655       10.2966       197.719       16.2901      0.000000 
