%
%
% Run:1     Table:DEEP              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      1.42875        7.2319        69.900      132.5518      0.000000 
      0.94531        7.2201        93.556      132.5518      1.000000 
      0.94577        7.2179        93.834      132.5518      1.000000 
      0.94608        7.2158        94.108      132.5518      1.000000 
      0.94625        7.2140        94.365      132.5518      1.000000 
      0.94623        7.2125        94.589      132.5518      1.000000 
      0.94575        7.2119        94.719      132.5518      1.000000 
      0.94604        7.2082        95.026      132.5518      1.000000 
      0.94635        7.2046        95.317      132.5518      1.000000 
      0.94658        7.2011        95.594      132.5518      1.000000 
      0.94671        7.1980        95.852      132.5518      1.000000 
      0.94664        7.1953        96.076      132.5518      1.000000 
      0.94610        7.1939        96.206      132.5518      1.000000 
      0.94474        7.1882        96.378      132.5518      1.000000 
      0.94334        7.1824        96.541      132.5518      1.000000 
      0.94188        7.1767        96.696      132.5518      1.000000 
      0.94029        7.1714        96.841      132.5518      1.000000 
      0.93853        7.1668        96.967      132.5518      1.000000 
      0.93634        7.1642        97.040      132.5518      1.000000 
      0.93632        7.1642        97.042      132.5518      1.000000 
      0.93632        7.1642        97.043      132.5518      1.000000 
      0.93632        7.1642        97.043      132.5518      1.000000 
      0.93632        7.1642        97.043      132.5518      1.000000 
      0.93632        7.1642        97.043      132.5518      1.000000 
      0.93632        7.1642        97.043      132.5518      1.000000 
