%
%
% Run:1     Table:MID               SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000        8.0046      0.000000 
      0.20089        7.2710       131.089        8.0046      1.000000 
      0.26027        7.2463       130.800        8.0046      1.000000 
      0.27026        7.2422       130.952        8.0046      1.000000 
      0.27465        7.2402       131.121        8.0046      1.000000 
      0.27773        7.2384       131.230        8.0046      1.000000 
      0.27940        7.2367       131.220        8.0046      1.000000 
      0.28080        7.2352       131.213        8.0046      1.000000 
      0.28456        7.2325       131.427        8.0046      1.000000 
      0.28856        7.2293       131.646        8.0046      1.000000 
      0.29220        7.2261       131.825        8.0046      1.000000 
      0.29518        7.2231       131.941        8.0046      1.000000 
      0.29691        7.2204       131.937        8.0046      1.000000 
      0.29759        7.2176       131.890        8.0046      1.000000 
      0.29927        7.2131       132.003        8.0046      1.000000 
      0.30107        7.2081       132.128        8.0046      1.000000 
      0.30263        7.2031       132.231        8.0046      1.000000 
      0.30382        7.1984       132.298        8.0046      1.000000 
      0.30425        7.1941       132.295        8.0046      1.000000 
      0.30389        7.1920       132.234        8.0046      1.000000 
      0.30380        7.1919       132.224        8.0046      1.000000 
      0.30379        7.1918       132.223        8.0046      1.000000 
      0.30379        7.1918       132.223        8.0046      1.000000 
      0.30379        7.1918       132.223        8.0046      1.000000 
      0.30379        7.1918       132.223        8.0046      1.000000 
