%
%
% Run:1     Table:SURF              SWAN version:41.51
%
%       Hsig          TPsmoo        Dir           Depth         Qb       
%       [m]           [sec]         [degr]        [m]           [ ]      
%
      0.02003        1.9895         0.000        6.7244      0.000000 
      0.09249        7.2947       139.084        6.7244      1.000000 
      0.13630        7.2558       139.121        6.7244      1.000000 
      0.14671        7.2479       139.336        6.7244      1.000000 
      0.15141        7.2456       139.553        6.7244      1.000000 
      0.15454        7.2436       139.696        6.7244      1.000000 
      0.15611        7.2413       139.687        6.7244      1.000000 
      0.15658        7.2401       139.574        6.7244      1.000000 
      0.15974        7.2384       139.789        6.7244      1.000000 
      0.16377        7.2353       140.079        6.7244      1.000000 
      0.16747        7.2321       140.318        6.7244      1.000000 
      0.17045        7.2289       140.470        6.7244      1.000000 
      0.17209        7.2256       140.472        6.7244      1.000000 
      0.17218        7.2229       140.334        6.7244      1.000000 
      0.17365        7.2194       140.421        6.7244      1.000000 
      0.17568        7.2146       140.578        6.7244      1.000000 
      0.17753        7.2097       140.711        6.7244      1.000000 
      0.17896        7.2048       140.797        6.7244      1.000000 
      0.17961        7.2002       140.797        6.7244      1.000000 
      0.17915        7.1973       140.690        6.7244      1.000000 
      0.17891        7.1971       140.650        6.7244      1.000000 
      0.17888        7.1971       140.644        6.7244      1.000000 
      0.17887        7.1971       140.643        6.7244      1.000000 
      0.17887        7.1971       140.642        6.7244      1.000000 
      0.17887        7.1971       140.642        6.7244      1.000000 
