Surf Spot,Month,SST (°C)
Arugam Bay,2020-01,2814.1935483870966
Arugam Bay,2020-02,2830.448275862069
Arugam Bay,2020-03,2890.548387096774
Arugam Bay,2020-04,2998.5333333333333
Arugam Bay,2020-05,3021.1290322580644
Arugam Bay,2020-06,3029.0666666666666
Arugam Bay,2020-07,2975.2580645161293
Arugam Bay,2020-08,2901.516129032258
Arugam Bay,2020-09,2903.0333333333333
Arugam Bay,2020-10,2879.0967741935483
Arugam Bay,2020-11,2924.3
Arugam Bay,2020-12,2786.9666666666667
Dalawella,2020-01,2841.8387096774195
Dalawella,2020-02,2845.6206896551726
Dalawella,2020-03,2920.4193548387098
Dalawella,2020-04,3006.266666666667
Dalawella,2020-05,2975.3870967741937
Dalawella,2020-06,2919.1
Dalawella,2020-07,2846.3870967741937
Dalawella,2020-08,2825.935483870968
Dalawella,2020-09,2802.7
Dalawella,2020-10,2796.5806451612902
Dalawella,2020-11,2858.366666666667
Dalawella,2020-12,2844.233333333333
Devils rock,2020-01,2841.8387096774195
Devils rock,2020-02,2845.6206896551726
Devils rock,2020-03,2920.4193548387098
Devils rock,2020-04,3006.266666666667
Devils rock,2020-05,2975.3870967741937
Devils rock,2020-06,2919.1
Devils rock,2020-07,2846.3870967741937
Devils rock,2020-08,2825.935483870968
Devils rock,2020-09,2802.7
Devils rock,2020-10,2796.5806451612902
Devils rock,2020-11,2858.366666666667
Devils rock,2020-12,2844.233333333333
"Dewata, Galle",2020-01,2849.548387096774
"Dewata, Galle",2020-02,2879.103448275862
"Dewata, Galle",2020-03,2926.6129032258063
"Dewata, Galle",2020-04,3008.633333333333
"Dewata, Galle",2020-05,3001.064516129032
"Dewata, Galle",2020-06,2928.6666666666665
"Dewata, Galle",2020-07,2855.3225806451615
"Dewata, Galle",2020-08,2822.6129032258063
"Dewata, Galle",2020-09,2806.9666666666667
"Dewata, Galle",2020-10,2795.064516129032
"Dewata, Galle",2020-11,2855.9666666666667
"Dewata, Galle",2020-12,2852.2
Elephant rock,2020-01,2814.1935483870966
Elephant rock,2020-02,2830.448275862069
Elephant rock,2020-03,2890.548387096774
Elephant rock,2020-04,2998.5333333333333
Elephant rock,2020-05,3021.1290322580644
Elephant rock,2020-06,3029.0666666666666
Elephant rock,2020-07,2975.2580645161293
Elephant rock,2020-08,2901.516129032258
Elephant rock,2020-09,2903.0333333333333
Elephant rock,2020-10,2879.0967741935483
Elephant rock,2020-11,2924.3
Elephant rock,2020-12,2786.9666666666667
Hikkaduwa,2020-01,2849.548387096774
Hikkaduwa,2020-02,2879.103448275862
Hikkaduwa,2020-03,2926.6129032258063
Hikkaduwa,2020-04,3008.633333333333
Hikkaduwa,2020-05,3001.064516129032
Hikkaduwa,2020-06,2928.6666666666665
Hikkaduwa,2020-07,2855.3225806451615
Hikkaduwa,2020-08,2822.6129032258063
Hikkaduwa,2020-09,2806.9666666666667
Hikkaduwa,2020-10,2795.064516129032
Hikkaduwa,2020-11,2855.9666666666667
Hikkaduwa,2020-12,2852.2
Hiriketiya,2020-01,2838.2258064516127
Hiriketiya,2020-02,2831.862068965517
Hiriketiya,2020-03,2920.7096774193546
Hiriketiya,2020-04,3005.0666666666666
Hiriketiya,2020-05,2953.7741935483873
Hiriketiya,2020-06,2907.7
Hiriketiya,2020-07,2853.0967741935483
Hiriketiya,2020-08,2830.548387096774
Hiriketiya,2020-09,2800.2
Hiriketiya,2020-10,2794.3225806451615
Hiriketiya,2020-11,2866.3
Hiriketiya,2020-12,2836.8333333333335
Bentota,2020-01,2855.7096774193546
Bentota,2020-02,2889.0689655172414
Bentota,2020-03,2937.516129032258
Bentota,2020-04,3026.1
Bentota,2020-05,3002.3870967741937
Bentota,2020-06,2930.4666666666667
Bentota,2020-07,2875.7741935483873
Bentota,2020-08,2824.064516129032
Bentota,2020-09,2807.9666666666667
Bentota,2020-10,2798.8064516129034
Bentota,2020-11,2868.8333333333335
Bentota,2020-12,2857.5
Koggala Lefts,2020-01,2841.8387096774195
Koggala Lefts,2020-02,2845.6206896551726
Koggala Lefts,2020-03,2920.4193548387098
Koggala Lefts,2020-04,3006.266666666667
Koggala Lefts,2020-05,2975.3870967741937
Koggala Lefts,2020-06,2919.1
Koggala Lefts,2020-07,2846.3870967741937
Koggala Lefts,2020-08,2825.935483870968
Koggala Lefts,2020-09,2802.7
Koggala Lefts,2020-10,2796.5806451612902
Koggala Lefts,2020-11,2858.366666666667
Koggala Lefts,2020-12,2844.233333333333
Ahangama,2020-01,2841.8387096774195
Ahangama,2020-02,2845.6206896551726
Ahangama,2020-03,2920.4193548387098
Ahangama,2020-04,3006.266666666667
Ahangama,2020-05,2975.3870967741937
Ahangama,2020-06,2919.1
Ahangama,2020-07,2846.3870967741937
Ahangama,2020-08,2825.935483870968
Ahangama,2020-09,2802.7
Ahangama,2020-10,2796.5806451612902
Ahangama,2020-11,2858.366666666667
Ahangama,2020-12,2844.233333333333
Madiha,2020-01,2838.2258064516127
Madiha,2020-02,2831.862068965517
Madiha,2020-03,2920.7096774193546
Madiha,2020-04,3005.0666666666666
Madiha,2020-05,2953.7741935483873
Madiha,2020-06,2907.7
Madiha,2020-07,2853.0967741935483
Madiha,2020-08,2830.548387096774
Madiha,2020-09,2800.2
Madiha,2020-10,2794.3225806451615
Madiha,2020-11,2866.3
Madiha,2020-12,2836.8333333333335
Matara,2020-01,2838.2258064516127
Matara,2020-02,2831.862068965517
Matara,2020-03,2920.7096774193546
Matara,2020-04,3005.0666666666666
Matara,2020-05,2953.7741935483873
Matara,2020-06,2907.7
Matara,2020-07,2853.0967741935483
Matara,2020-08,2830.548387096774
Matara,2020-09,2800.2
Matara,2020-10,2794.3225806451615
Matara,2020-11,2866.3
Matara,2020-12,2836.8333333333335
Midigama Left (market),2020-01,2841.8387096774195
Midigama Left (market),2020-02,2845.6206896551726
Midigama Left (market),2020-03,2920.4193548387098
Midigama Left (market),2020-04,3006.266666666667
Midigama Left (market),2020-05,2975.3870967741937
Midigama Left (market),2020-06,2919.1
Midigama Left (market),2020-07,2846.3870967741937
Midigama Left (market),2020-08,2825.935483870968
Midigama Left (market),2020-09,2802.7
Midigama Left (market),2020-10,2796.5806451612902
Midigama Left (market),2020-11,2858.366666666667
Midigama Left (market),2020-12,2844.233333333333
Midigama Right,2020-01,2841.8387096774195
Midigama Right,2020-02,2845.6206896551726
Midigama Right,2020-03,2920.4193548387098
Midigama Right,2020-04,3006.266666666667
Midigama Right,2020-05,2975.3870967741937
Midigama Right,2020-06,2919.1
Midigama Right,2020-07,2846.3870967741937
Midigama Right,2020-08,2825.935483870968
Midigama Right,2020-09,2802.7
Midigama Right,2020-10,2796.5806451612902
Midigama Right,2020-11,2858.366666666667
Midigama Right,2020-12,2844.233333333333
Mirissa,2020-01,2841.8387096774195
Mirissa,2020-02,2845.6206896551726
Mirissa,2020-03,2920.4193548387098
