Date,Surf Spot,SST (°C)
2022-01-01,Arugam Bay,2769.8387096774195
2022-01-02,Arugam Bay,2771.749442544968
2022-01-03,Arugam Bay,2773.6601754125168
2022-01-04,Arugam Bay,2775.5709082800654
2022-01-05,Arugam Bay,2777.481641147614
2022-01-06,Arugam Bay,2779.3923740151627
2022-01-07,Arugam Bay,2781.3031068827117
2022-01-08,Arugam Bay,2783.2138397502604
2022-01-09,Arugam Bay,2785.124572617809
2022-01-10,Arugam Bay,2787.0353054853576
2022-01-11,Arugam Bay,2788.9460383529063
2022-01-12,Arugam Bay,2790.856771220455
2022-01-13,Arugam Bay,2792.7675040880035
2022-01-14,Arugam Bay,2794.678236955552
2022-01-15,Arugam Bay,2796.588969823101
2022-01-16,Arugam Bay,2798.4997026906494
2022-01-17,Arugam Bay,2800.4104355581985
2022-01-18,Arugam Bay,2802.321168425747
2022-01-19,Arugam Bay,2804.231901293296
2022-01-20,Arugam Bay,2806.1426341608444
2022-01-21,Arugam Bay,2808.053367028393
2022-01-22,Arugam Bay,2809.9640998959417
2022-01-23,Arugam Bay,2811.8748327634903
2022-01-24,Arugam Bay,2813.785565631039
2022-01-25,Arugam Bay,2815.6962984985876
2022-01-26,Arugam Bay,2817.607031366136
2022-01-27,Arugam Bay,2819.5177642336853
2022-01-28,Arugam Bay,2821.428497101234
2022-01-29,Arugam Bay,2823.3392299687825
2022-01-30,Arugam Bay,2825.249962836331
2022-01-31,Arugam Bay,2827.16069570388
2022-02-01,Arugam Bay,2829.0714285714284
2022-02-02,Arugam Bay,2831.103439763002
2022-02-03,Arugam Bay,2833.1354509545754
2022-02-04,Arugam Bay,2835.167462146149
2022-02-05,Arugam Bay,2837.199473337722
2022-02-06,Arugam Bay,2839.2314845292954
2022-02-07,Arugam Bay,2841.263495720869
2022-02-08,Arugam Bay,2843.2955069124423
2022-02-09,Arugam Bay,2845.327518104016
2022-02-10,Arugam Bay,2847.3595292955893
2022-02-11,Arugam Bay,2849.3915404871627
2022-02-12,Arugam Bay,2851.4235516787357
2022-02-13,Arugam Bay,2853.455562870309
2022-02-14,Arugam Bay,2855.4875740618827
2022-02-15,Arugam Bay,2857.519585253456
2022-02-16,Arugam Bay,2859.5515964450296
2022-02-17,Arugam Bay,2861.583607636603
2022-02-18,Arugam Bay,2863.6156188281766
2022-02-19,Arugam Bay,2865.6476300197496
2022-02-20,Arugam Bay,2867.679641211323
2022-02-21,Arugam Bay,2869.7116524028966
2022-02-22,Arugam Bay,2871.74366359447
2022-02-23,Arugam Bay,2873.7756747860435
2022-02-24,Arugam Bay,2875.807685977617
2022-02-25,Arugam Bay,2877.8396971691905
2022-02-26,Arugam Bay,2879.8717083607635
2022-02-27,Arugam Bay,2881.903719552337
2022-02-28,Arugam Bay,2883.9357307439104
2022-03-01,Arugam Bay,2885.967741935484
2022-03-02,Arugam Bay,2889.023621227888
2022-03-03,Arugam Bay,2892.0795005202913
2022-03-04,Arugam Bay,2895.135379812695
2022-03-05,Arugam Bay,2898.1912591050987
2022-03-06,Arugam Bay,2901.2471383975026
2022-03-07,Arugam Bay,2904.3030176899065
2022-03-08,Arugam Bay,2907.35889698231
2022-03-09,Arugam Bay,2910.414776274714
2022-03-10,Arugam Bay,2913.470655567118
2022-03-11,Arugam Bay,2916.5265348595212
2022-03-12,Arugam Bay,2919.582414151925
2022-03-13,Arugam Bay,2922.6382934443286
2022-03-14,Arugam Bay,2925.6941727367325
2022-03-15,Arugam Bay,2928.7500520291364
2022-03-16,Arugam Bay,2931.80593132154
2022-03-17,Arugam Bay,2934.861810613944
2022-03-18,Arugam Bay,2937.9176899063473
2022-03-19,Arugam Bay,2940.973569198751
2022-03-20,Arugam Bay,2944.029448491155
2022-03-21,Arugam Bay,2947.0853277835586
2022-03-22,Arugam Bay,2950.1412070759625
2022-03-23,Arugam Bay,2953.1970863683664
2022-03-24,Arugam Bay,2956.25296566077
2022-03-25,Arugam Bay,2959.308844953174
2022-03-26,Arugam Bay,2962.3647242455772
2022-03-27,Arugam Bay,2965.420603537981
2022-03-28,Arugam Bay,2968.476482830385
2022-03-29,Arugam Bay,2971.5323621227885
2022-03-30,Arugam Bay,2974.5882414151924
2022-03-31,Arugam Bay,2977.644120707596
2022-04-01,Arugam Bay,2980.7
2022-04-02,Arugam Bay,2980.7659139784946
2022-04-03,Arugam Bay,2980.831827956989
2022-04-04,Arugam Bay,2980.8977419354837
2022-04-05,Arugam Bay,2980.9636559139785
2022-04-06,Arugam Bay,2981.029569892473
2022-04-07,Arugam Bay,2981.0954838709677
2022-04-08,Arugam Bay,2981.161397849462
2022-04-09,Arugam Bay,2981.227311827957
2022-04-10,Arugam Bay,2981.2932258064516
2022-04-11,Arugam Bay,2981.359139784946
2022-04-12,Arugam Bay,2981.4250537634407
2022-04-13,Arugam Bay,2981.4909677419355
2022-04-14,Arugam Bay,2981.55688172043
2022-04-15,Arugam Bay,2981.6227956989246
2022-04-16,Arugam Bay,2981.6887096774194
2022-04-17,Arugam Bay,2981.7546236559137
2022-04-18,Arugam Bay,2981.8205376344085
2022-04-19,Arugam Bay,2981.886451612903
2022-04-20,Arugam Bay,2981.9523655913977
2022-04-21,Arugam Bay,2982.0182795698925
2022-04-22,Arugam Bay,2982.084193548387
2022-04-23,Arugam Bay,2982.1501075268816
2022-04-24,Arugam Bay,2982.2160215053764
2022-04-25,Arugam Bay,2982.2819354838707
2022-04-26,Arugam Bay,2982.3478494623655
2022-04-27,Arugam Bay,2982.41376344086
