Date,Surf Spot,SST (°C)
2023-01-01,Arugam Bay,2703.322580645161
2023-01-02,Arugam Bay,2705.0990411773446
2023-01-03,Arugam Bay,2706.8755017095286
2023-01-04,Arugam Bay,2708.651962241712
2023-01-05,Arugam Bay,2710.428422773896
2023-01-06,Arugam Bay,2712.20488330608
2023-01-07,Arugam Bay,2713.9813438382635
2023-01-08,Arugam Bay,2715.757804370447
2023-01-09,Arugam Bay,2717.534264902631
2023-01-10,Arugam Bay,2719.3107254348147
2023-01-11,Arugam Bay,2721.0871859669987
2023-01-12,Arugam Bay,2722.8636464991823
2023-01-13,Arugam Bay,2724.640107031366
2023-01-14,Arugam Bay,2726.41656756355
2023-01-15,Arugam Bay,2728.1930280957336
2023-01-16,Arugam Bay,2729.969488627917
2023-01-17,Arugam Bay,2731.745949160101
2023-01-18,Arugam Bay,2733.522409692285
2023-01-19,Arugam Bay,2735.2988702244684
2023-01-20,Arugam Bay,2737.0753307566524
2023-01-21,Arugam Bay,2738.851791288836
2023-01-22,Arugam Bay,2740.6282518210196
2023-01-23,Arugam Bay,2742.4047123532036
2023-01-24,Arugam Bay,2744.1811728853872
2023-01-25,Arugam Bay,2745.9576334175713
2023-01-26,Arugam Bay,2747.734093949755
2023-01-27,Arugam Bay,2749.5105544819385
2023-01-28,Arugam Bay,2751.2870150141225
2023-01-29,Arugam Bay,2753.063475546306
2023-01-30,Arugam Bay,2754.8399360784897
2023-01-31,Arugam Bay,2756.6163966106737
2023-02-01,Arugam Bay,2758.3928571428573
2023-02-02,Arugam Bay,2761.8258311389072
2023-02-03,Arugam Bay,2765.2588051349576
2023-02-04,Arugam Bay,2768.6917791310075
2023-02-05,Arugam Bay,2772.1247531270574
2023-02-06,Arugam Bay,2775.5577271231073
2023-02-07,Arugam Bay,2778.9907011191576
2023-02-08,Arugam Bay,2782.4236751152075
2023-02-09,Arugam Bay,2785.8566491112574
2023-02-10,Arugam Bay,2789.2896231073078
2023-02-11,Arugam Bay,2792.7225971033577
2023-02-12,Arugam Bay,2796.1555710994076
2023-02-13,Arugam Bay,2799.5885450954574
2023-02-14,Arugam Bay,2803.021519091508
2023-02-15,Arugam Bay,2806.4544930875577
2023-02-16,Arugam Bay,2809.8874670836076
2023-02-17,Arugam Bay,2813.320441079658
2023-02-18,Arugam Bay,2816.753415075708
2023-02-19,Arugam Bay,2820.1863890717577
