Surf Spot,Month,SST (°C)
Arugam Bay,2023-01,2703.3225806451615
Arugam Bay,2023-02,2758.3928571428573
Arugam Bay,2023-03,2854.516129032258
Arugam Bay,2023-04,3015.5333333333333
Arugam Bay,2023-05,2998.3225806451615
Arugam Bay,2023-06,2981.9
Arugam Bay,2023-07,2911.8709677419356
Arugam Bay,2023-08,2840.6129032258063
Arugam Bay,2023-09,2845.133333333333
Arugam Bay,2023-10,2880.6774193548385
Arugam Bay,2023-11,2916.3333333333335
Arugam Bay,2023-12,2840.9666666666667
Dalawella,2023-01,2771.548387096774
Dalawella,2023-02,2783.535714285714
Dalawella,2023-03,2869.3225806451615
Dalawella,2023-04,3019.8
Dalawella,2023-05,2922.7741935483873
Dalawella,2023-06,2854.3
Dalawella,2023-07,2781.483870967742
Dalawella,2023-08,2877.8387096774195
Dalawella,2023-09,2863.4666666666667
Dalawella,2023-10,2872.7419354838707
Dalawella,2023-11,2913.6666666666665
Dalawella,2023-12,2885.9333333333334
Devils rock,2023-01,2771.548387096774
Devils rock,2023-02,2783.535714285714
Devils rock,2023-03,2869.3225806451615
Devils rock,2023-04,3019.8
Devils rock,2023-05,2922.7741935483873
Devils rock,2023-06,2854.3
Devils rock,2023-07,2781.483870967742
Devils rock,2023-08,2877.8387096774195
Devils rock,2023-09,2863.4666666666667
Devils rock,2023-10,2872.7419354838707
Devils rock,2023-11,2913.6666666666665
Devils rock,2023-12,2885.9333333333334
"Dewata, Galle",2023-01,2779.0967741935483
"Dewata, Galle",2023-02,2793.035714285714
"Dewata, Galle",2023-03,2879.9032258064517
"Dewata, Galle",2023-04,3024.5333333333333
"Dewata, Galle",2023-05,2947.3548387096776
"Dewata, Galle",2023-06,2866.6
"Dewata, Galle",2023-07,2810.8387096774195
"Dewata, Galle",2023-08,2887.3225806451615
"Dewata, Galle",2023-09,2847.3333333333335
"Dewata, Galle",2023-10,2865.2258064516127
"Dewata, Galle",2023-11,2909.633333333333
"Dewata, Galle",2023-12,2887.9333333333334
Elephant rock,2023-01,2703.3225806451615
Elephant rock,2023-02,2758.3928571428573
Elephant rock,2023-03,2854.516129032258
Elephant rock,2023-04,3015.5333333333333
Elephant rock,2023-05,2998.3225806451615
Elephant rock,2023-06,2981.9
Elephant rock,2023-07,2911.8709677419356
Elephant rock,2023-08,2840.6129032258063
Elephant rock,2023-09,2845.133333333333
Elephant rock,2023-10,2880.6774193548385
Elephant rock,2023-11,2916.3333333333335
Elephant rock,2023-12,2840.9666666666667
Hikkaduwa,2023-01,2779.0967741935483
Hikkaduwa,2023-02,2793.035714285714
Hikkaduwa,2023-03,2879.9032258064517
Hikkaduwa,2023-04,3024.5333333333333
Hikkaduwa,2023-05,2947.3548387096776
Hikkaduwa,2023-06,2866.6
Hikkaduwa,2023-07,2810.8387096774195
Hikkaduwa,2023-08,2887.3225806451615
Hikkaduwa,2023-09,2847.3333333333335
Hikkaduwa,2023-10,2865.2258064516127
Hikkaduwa,2023-11,2909.633333333333
Hikkaduwa,2023-12,2887.9333333333334
Hiriketiya,2023-01,2763.967741935484
Hiriketiya,2023-02,2781.785714285714
Hiriketiya,2023-03,2867.3225806451615
Hiriketiya,2023-04,3018.733333333333
Hiriketiya,2023-05,2912.516129032258
Hiriketiya,2023-06,2847.8
Hiriketiya,2023-07,2766.451612903226
Hiriketiya,2023-08,2873.8709677419356
Hiriketiya,2023-09,2866.7
Hiriketiya,2023-10,2874.6451612903224
Hiriketiya,2023-11,2914.733333333333
Hiriketiya,2023-12,2880.5
Bentota,2023-01,2772.0967741935483
Bentota,2023-02,2807.1071428571427
Bentota,2023-03,2898.548387096774
Bentota,2023-04,3043.733333333333
Bentota,2023-05,2973.516129032258
Bentota,2023-06,2884.366666666667
Bentota,2023-07,2818.2903225806454
Bentota,2023-08,2883.3225806451615
Bentota,2023-09,2848.1
Bentota,2023-10,2861.3548387096776
Bentota,2023-11,2914.9
Bentota,2023-12,2889.4666666666667
Koggala Lefts,2023-01,2771.548387096774
Koggala Lefts,2023-02,2783.535714285714
Koggala Lefts,2023-03,2869.3225806451615
Koggala Lefts,2023-04,3019.8
Koggala Lefts,2023-05,2922.7741935483873
Koggala Lefts,2023-06,2854.3
Koggala Lefts,2023-07,2781.483870967742
Koggala Lefts,2023-08,2877.8387096774195
Koggala Lefts,2023-09,2863.4666666666667
Koggala Lefts,2023-10,2872.7419354838707
Koggala Lefts,2023-11,2913.6666666666665
Koggala Lefts,2023-12,2885.9333333333334
Ahangama,2023-01,2771.548387096774
Ahangama,2023-02,2783.535714285714
Ahangama,2023-03,2869.3225806451615
Ahangama,2023-04,3019.8
Ahangama,2023-05,2922.7741935483873
Ahangama,2023-06,2854.3
Ahangama,2023-07,2781.483870967742
Ahangama,2023-08,2877.8387096774195
Ahangama,2023-09,2863.4666666666667
Ahangama,2023-10,2872.7419354838707
Ahangama,2023-11,2913.6666666666665
Ahangama,2023-12,2885.9333333333334
Madiha,2023-01,2763.967741935484
Madiha,2023-02,2781.785714285714
Madiha,2023-03,2867.3225806451615
Madiha,2023-04,3018.733333333333
Madiha,2023-05,2912.516129032258
Madiha,2023-06,2847.8
Madiha,2023-07,2766.451612903226
Madiha,2023-08,2873.8709677419356
Madiha,2023-09,2866.7
Madiha,2023-10,2874.6451612903224
Madiha,2023-11,2914.733333333333
Madiha,2023-12,2880.5
Matara,2023-01,2763.967741935484
