Surf Spot,Latitude,Longitude,SST (°C)
Arugam Bay,6.84073903,81.83699875,2937.27397260274
Dalawella,5.999671189,80.26365759,2915.013698630137
Devils rock,5.962862943,80.37994483,2915.013698630137
"Dewata, Galle",6.03265123,80.23846466,2925.32602739726
Elephant rock,6.810079103,81.82424371,2937.27397260274
Hikkaduwa,6.137770234,80.09906592,2925.32602739726
Hiriketiya,5.962386801,80.70681094,2908.2575342465752
Bentota,6.425187899,79.99517158,2933.4821917808217
Koggala Lefts,5.987887875,80.32378455,2915.013698630137
Ahangama,5.971969733,80.3637354,2915.013698630137
Madiha,5.93696695,80.51062855,2908.2575342465752
Matara,5.938854101,80.57029861,2908.2575342465752
Midigama Left (market),5.964753996,80.39085931,2915.013698630137
Midigama Right,5.964855249,80.38364316,2915.013698630137
Mirissa,5.944910464,80.45784278,2915.013698630137
Okanda,6.650268286,81.77620686,2931.7068493150687
Peanuts Farm,6.796445101,81.8214094,2937.27397260274
Pottuvil Point,6.890232732,81.84293345,2937.27397260274
Rockside Induruwa,6.390373433,80.00656863,2933.4821917808217
South Beach,5.982663888,80.33681613,2915.013698630137
Thalpe,5.995275018,80.28788685,2915.013698630137
Thalyadi,9.630154152,80.40368838,2923.6301369863013
Unawatuna,6.008332771,80.24446294,2924.852481161745
Weligama,5.972030384,80.43099938,2915.013698630137
Whiskey Point,6.905261097,81.84463626,2937.27397260274
