Date,Surf Spot,SST (°C)
2024-01-01,Arugam Bay,2805.483870967742
2024-01-02,Arugam Bay,2807.337005274678
2024-01-03,Arugam Bay,2809.190139581614
2024-01-04,Arugam Bay,2811.04327388855
2024-01-05,Arugam Bay,2812.896408195486
2024-01-06,Arugam Bay,2814.749542502422
2024-01-07,Arugam Bay,2816.602676809358
2024-01-08,Arugam Bay,2818.455811116294
2024-01-09,Arugam Bay,2820.30894542323
2024-01-10,Arugam Bay,2822.162079730166
2024-01-11,Arugam Bay,2824.015214037102
2024-01-12,Arugam Bay,2825.868348344038
2024-01-13,Arugam Bay,2827.7214826509744
2024-01-14,Arugam Bay,2829.57461695791
2024-01-15,Arugam Bay,2831.4277512648464
2024-01-16,Arugam Bay,2833.280885571782
2024-01-17,Arugam Bay,2835.1340198787184
2024-01-18,Arugam Bay,2836.987154185654
2024-01-19,Arugam Bay,2838.8402884925904
2024-01-20,Arugam Bay,2840.693422799526
2024-01-21,Arugam Bay,2842.5465571064624
2024-01-22,Arugam Bay,2844.3996914133986
2024-01-23,Arugam Bay,2846.2528257203344
2024-01-24,Arugam Bay,2848.1059600272706
2024-01-25,Arugam Bay,2849.9590943342064
2024-01-26,Arugam Bay,2851.8122286411426
2024-01-27,Arugam Bay,2853.6653629480784
2024-01-28,Arugam Bay,2855.5184972550146
2024-01-29,Arugam Bay,2857.3716315619504
2024-01-30,Arugam Bay,2859.2247658688866
2024-01-31,Arugam Bay,2861.0779001758224
2024-02-01,Arugam Bay,2862.9310344827586
2024-02-02,Arugam Bay,2865.584135629627
2024-02-03,Arugam Bay,2868.237236776495
2024-02-04,Arugam Bay,2870.890337923363
2024-02-05,Arugam Bay,2873.543439070231
2024-02-06,Arugam Bay,2876.1965402170995
2024-02-07,Arugam Bay,2878.8496413639677
2024-02-08,Arugam Bay,2881.502742510836
2024-02-09,Arugam Bay,2884.1558436577043
2024-02-10,Arugam Bay,2886.808944804572
2024-02-11,Arugam Bay,2889.4620459514404
2024-02-12,Arugam Bay,2892.1151470983086
2024-02-13,Arugam Bay,2894.768248245177
2024-02-14,Arugam Bay,2897.421349392045
2024-02-15,Arugam Bay,2900.0744505389134
2024-02-16,Arugam Bay,2902.7275516857812
2024-02-17,Arugam Bay,2905.3806528326495
2024-02-18,Arugam Bay,2908.0337539795178
2024-02-19,Arugam Bay,2910.686855126386
2024-02-20,Arugam Bay,2913.3399562732543
2024-02-21,Arugam Bay,2915.9930574201226
2024-02-22,Arugam Bay,2918.6461585669904
2024-02-23,Arugam Bay,2921.2992597138586
2024-02-24,Arugam Bay,2923.952360860727
2024-02-25,Arugam Bay,2926.605462007595
2024-02-26,Arugam Bay,2929.2585631544634
2024-02-27,Arugam Bay,2931.9116643013313
2024-02-28,Arugam Bay,2934.5647654481995
2024-02-29,Arugam Bay,2937.217866595068
2024-03-01,Arugam Bay,2939.870967741936
2024-03-02,Arugam Bay,2943.2869580298307
2024-03-03,Arugam Bay,2946.7029483177253
2024-03-04,Arugam Bay,2950.11893860562
2024-03-05,Arugam Bay,2953.534928893514
2024-03-06,Arugam Bay,2956.9509191814086
2024-03-07,Arugam Bay,2960.366909469303
2024-03-08,Arugam Bay,2963.782899757198
2024-03-09,Arugam Bay,2967.1988900450924
2024-03-10,Arugam Bay,2970.614880332987
2024-03-11,Arugam Bay,2974.0308706208816
2024-03-12,Arugam Bay,2977.446860908776
2024-03-13,Arugam Bay,2980.8628511966704
2024-03-14,Arugam Bay,2984.278841484565
2024-03-15,Arugam Bay,2987.6948317724596
2024-03-16,Arugam Bay,2991.110822060354
2024-03-17,Arugam Bay,2994.5268123482488
2024-03-18,Arugam Bay,2997.9428026361434
2024-03-19,Arugam Bay,3001.358792924038
2024-03-20,Arugam Bay,3004.7747832119326
2024-03-21,Arugam Bay,3008.1907734998267
2024-03-22,Arugam Bay,3011.6067637877213
2024-03-23,Arugam Bay,3015.022754075616
2024-03-24,Arugam Bay,3018.4387443635105
2024-03-25,Arugam Bay,3021.854734651405
2024-03-26,Arugam Bay,3025.2707249392997
2024-03-27,Arugam Bay,3028.6867152271943
2024-03-28,Arugam Bay,3032.102705515089
2024-03-29,Arugam Bay,3035.518695802983
2024-03-30,Arugam Bay,3038.9346860908777
2024-03-31,Arugam Bay,3042.3506763787723
2024-04-01,Arugam Bay,3045.766666666667
2024-04-02,Arugam Bay,3045.0163799283155
2024-04-03,Arugam Bay,3044.2660931899645
2024-04-04,Arugam Bay,3043.515806451613
2024-04-05,Arugam Bay,3042.7655197132617
2024-04-06,Arugam Bay,3042.0152329749108
2024-04-07,Arugam Bay,3041.2649462365594
2024-04-08,Arugam Bay,3040.514659498208
2024-04-09,Arugam Bay,3039.764372759857
2024-04-10,Arugam Bay,3039.0140860215056
2024-04-11,Arugam Bay,3038.263799283154
2024-04-12,Arugam Bay,3037.5135125448032
2024-04-13,Arugam Bay,3036.763225806452
2024-04-14,Arugam Bay,3036.0129390681004
2024-04-15,Arugam Bay,3035.2626523297495
2024-04-16,Arugam Bay,3034.512365591398
2024-04-17,Arugam Bay,3033.7620788530467
2024-04-18,Arugam Bay,3033.0117921146957
2024-04-19,Arugam Bay,3032.2615053763443
2024-04-20,Arugam Bay,3031.511218637993
2024-04-21,Arugam Bay,3030.760931899642
2024-04-22,Arugam Bay,3030.0106451612905
2024-04-23,Arugam Bay,3029.260358422939
2024-04-24,Arugam Bay,3028.510071684588
2024-04-25,Arugam Bay,3027.759784946237
2024-04-26,Arugam Bay,3027.0094982078854
2024-04-27,Arugam Bay,3026.2592114695344
2024-04-28,Arugam Bay,3025.508924731183
2024-04-29,Arugam Bay,3024.7586379928316
2024-04-30,Arugam Bay,3024.0083512544807
2024-05-01,Arugam Bay,3023.2580645161293
2024-05-02,Arugam Bay,3022.7110301768994
2024-05-03,Arugam Bay,3022.1639958376695
2024-05-04,Arugam Bay,3021.616961498439
2024-05-05,Arugam Bay,3021.0699271592093
2024-05-06,Arugam Bay,3020.5228928199795
2024-05-07,Arugam Bay,3019.9758584807496
2024-05-08,Arugam Bay,3019.4288241415193
2024-05-09,Arugam Bay,3018.8817898022894
2024-05-10,Arugam Bay,3018.3347554630595
2024-05-11,Arugam Bay,3017.7877211238297
2024-05-12,Arugam Bay,3017.2406867846
2024-05-13,Arugam Bay,3016.6936524453695
2024-05-14,Arugam Bay,3016.1466181061396
2024-05-15,Arugam Bay,3015.5995837669097
2024-05-16,Arugam Bay,3015.05254942768
2024-05-17,Arugam Bay,3014.5055150884496
2024-05-18,Arugam Bay,3013.9584807492197
2024-05-19,Arugam Bay,3013.41144640999
2024-05-20,Arugam Bay,3012.86441207076
2024-05-21,Arugam Bay,3012.3173777315296
2024-05-22,Arugam Bay,3011.7703433922998
2024-05-23,Arugam Bay,3011.22330905307
2024-05-24,Arugam Bay,3010.67627471384
2024-05-25,Arugam Bay,3010.12924037461
2024-05-26,Arugam Bay,3009.58220603538
2024-05-27,Arugam Bay,3009.03517169615
2024-05-28,Arugam Bay,3008.48813735692
2024-05-29,Arugam Bay,3007.9411030176902
2024-05-30,Arugam Bay,3007.39406867846
2024-05-31,Arugam Bay,3006.84703433923
2024-06-01,Arugam Bay,3006.3
2024-06-02,Arugam Bay,3005.0287096774196
2024-06-03,Arugam Bay,3003.757419354839
2024-06-04,Arugam Bay,3002.4861290322583
2024-06-05,Arugam Bay,3001.2148387096777
2024-06-06,Arugam Bay,2999.943548387097
2024-06-07,Arugam Bay,2998.6722580645164
2024-06-08,Arugam Bay,2997.400967741936
2024-06-09,Arugam Bay,2996.1296774193547
2024-06-10,Arugam Bay,2994.858387096774
2024-06-11,Arugam Bay,2993.5870967741935
2024-06-12,Arugam Bay,2992.315806451613
2024-06-13,Arugam Bay,2991.044516129032
2024-06-14,Arugam Bay,2989.7732258064516
2024-06-15,Arugam Bay,2988.501935483871
2024-06-16,Arugam Bay,2987.2306451612903
2024-06-17,Arugam Bay,2985.9593548387097
2024-06-18,Arugam Bay,2984.688064516129
2024-06-19,Arugam Bay,2983.4167741935485
2024-06-20,Arugam Bay,2982.145483870968
2024-06-21,Arugam Bay,2980.874193548387
2024-06-22,Arugam Bay,2979.6029032258066
2024-06-23,Arugam Bay,2978.331612903226
2024-06-24,Arugam Bay,2977.060322580645
2024-06-25,Arugam Bay,2975.7890322580643
2024-06-26,Arugam Bay,2974.5177419354836
2024-06-27,Arugam Bay,2973.246451612903
2024-06-28,Arugam Bay,2971.9751612903224
2024-06-29,Arugam Bay,2970.7038709677418
2024-06-30,Arugam Bay,2969.432580645161
2024-07-01,Arugam Bay,2968.1612903225805
2024-07-02,Arugam Bay,2967.0
2024-07-03,Arugam Bay,2965.838709677419
2024-07-04,Arugam Bay,2964.6774193548385
2024-07-05,Arugam Bay,2963.516129032258
2024-07-06,Arugam Bay,2962.354838709677
2024-07-07,Arugam Bay,2961.1935483870966
2024-07-08,Arugam Bay,2960.032258064516
2024-07-09,Arugam Bay,2958.870967741935
2024-07-10,Arugam Bay,2957.7096774193546
2024-07-11,Arugam Bay,2956.548387096774
2024-07-12,Arugam Bay,2955.387096774193
2024-07-13,Arugam Bay,2954.2258064516127
2024-07-14,Arugam Bay,2953.064516129032
2024-07-15,Arugam Bay,2951.9032258064512
2024-07-16,Arugam Bay,2950.7419354838707
2024-07-17,Arugam Bay,2949.5806451612902
2024-07-18,Arugam Bay,2948.4193548387098
2024-07-19,Arugam Bay,2947.258064516129
2024-07-20,Arugam Bay,2946.0967741935483
2024-07-21,Arugam Bay,2944.935483870968
2024-07-22,Arugam Bay,2943.774193548387
2024-07-23,Arugam Bay,2942.6129032258063
2024-07-24,Arugam Bay,2941.451612903226
2024-07-25,Arugam Bay,2940.290322580645
2024-07-26,Arugam Bay,2939.1290322580644
2024-07-27,Arugam Bay,2937.967741935484
2024-07-28,Arugam Bay,2936.806451612903
2024-07-29,Arugam Bay,2935.6451612903224
2024-07-30,Arugam Bay,2934.483870967742
2024-07-31,Arugam Bay,2933.322580645161
2024-08-01,Arugam Bay,2932.1612903225805
2024-08-02,Arugam Bay,2932.461463753035
2024-08-03,Arugam Bay,2932.7616371834893
2024-08-04,Arugam Bay,2933.0618106139436
2024-08-05,Arugam Bay,2933.361984044398
2024-08-06,Arugam Bay,2933.6621574748524
2024-08-07,Arugam Bay,2933.9623309053068
2024-08-08,Arugam Bay,2934.262504335761
2024-08-09,Arugam Bay,2934.5626777662155
2024-08-10,Arugam Bay,2934.86285119667
2024-08-11,Arugam Bay,2935.1630246271243
2024-08-12,Arugam Bay,2935.4631980575787
2024-08-13,Arugam Bay,2935.763371488033
2024-08-14,Arugam Bay,2936.0635449184874
2024-08-15,Arugam Bay,2936.363718348942
2024-08-16,Arugam Bay,2936.663891779396
2024-08-17,Arugam Bay,2936.964065209851
2024-08-18,Arugam Bay,2937.2642386403054
2024-08-19,Arugam Bay,2937.5644120707598
2024-08-20,Arugam Bay,2937.864585501214
2024-08-21,Arugam Bay,2938.1647589316685
2024-08-22,Arugam Bay,2938.464932362123
2024-08-23,Arugam Bay,2938.7651057925773
2024-08-24,Arugam Bay,2939.0652792230317
2024-08-25,Arugam Bay,2939.365452653486
2024-08-26,Arugam Bay,2939.6656260839404
2024-08-27,Arugam Bay,2939.965799514395
2024-08-28,Arugam Bay,2940.265972944849
2024-08-29,Arugam Bay,2940.5661463753036
2024-08-30,Arugam Bay,2940.866319805758
2024-08-31,Arugam Bay,2941.1664932362123
2024-09-01,Arugam Bay,2941.4666666666667
2024-09-02,Arugam Bay,2940.971541218638
2024-09-03,Arugam Bay,2940.4764157706095
2024-09-04,Arugam Bay,2939.9812903225807
2024-09-05,Arugam Bay,2939.486164874552
2024-09-06,Arugam Bay,2938.9910394265235
2024-09-07,Arugam Bay,2938.4959139784946
2024-09-08,Arugam Bay,2938.000788530466
2024-09-09,Arugam Bay,2937.5056630824374
2024-09-10,Arugam Bay,2937.0105376344086
2024-09-11,Arugam Bay,2936.5154121863798
2024-09-12,Arugam Bay,2936.0202867383514
2024-09-13,Arugam Bay,2935.5251612903226
2024-09-14,Arugam Bay,2935.0300358422937
2024-09-15,Arugam Bay,2934.5349103942654
2024-09-16,Arugam Bay,2934.0397849462365
2024-09-17,Arugam Bay,2933.5446594982077
2024-09-18,Arugam Bay,2933.0495340501793
2024-09-19,Arugam Bay,2932.5544086021505
2024-09-20,Arugam Bay,2932.0592831541217
2024-09-21,Arugam Bay,2931.5641577060933
2024-09-22,Arugam Bay,2931.0690322580645
2024-09-23,Arugam Bay,2930.5739068100356
2024-09-24,Arugam Bay,2930.0787813620072
2024-09-25,Arugam Bay,2929.5836559139784
2024-09-26,Arugam Bay,2929.0885304659496
2024-09-27,Arugam Bay,2928.593405017921
2024-09-28,Arugam Bay,2928.0982795698924
2024-09-29,Arugam Bay,2927.6031541218636
2024-09-30,Arugam Bay,2927.108028673835
2024-10-01,Arugam Bay,2926.6129032258063
2024-10-02,Arugam Bay,2927.966250433576
2024-10-03,Arugam Bay,2929.319597641346
2024-10-04,Arugam Bay,2930.6729448491155
2024-10-05,Arugam Bay,2932.0262920568853
2024-10-06,Arugam Bay,2933.379639264655
2024-10-07,Arugam Bay,2934.7329864724243
2024-10-08,Arugam Bay,2936.086333680194
2024-10-09,Arugam Bay,2937.4396808879637
2024-10-10,Arugam Bay,2938.7930280957335
2024-10-11,Arugam Bay,2940.146375303503
2024-10-12,Arugam Bay,2941.499722511273
2024-10-13,Arugam Bay,2942.8530697190427
2024-10-14,Arugam Bay,2944.2064169268124
2024-10-15,Arugam Bay,2945.559764134582
2024-10-16,Arugam Bay,2946.913111342352
2024-10-17,Arugam Bay,2948.266458550121
2024-10-18,Arugam Bay,2949.619805757891
2024-10-19,Arugam Bay,2950.9731529656606
2024-10-20,Arugam Bay,2952.3265001734303
2024-10-21,Arugam Bay,2953.6798473812
2024-10-22,Arugam Bay,2955.0331945889698
2024-10-23,Arugam Bay,2956.3865417967395
2024-10-24,Arugam Bay,2957.739889004509
2024-10-25,Arugam Bay,2959.093236212279
2024-10-26,Arugam Bay,2960.4465834200487
2024-10-27,Arugam Bay,2961.799930627818
2024-10-28,Arugam Bay,2963.1532778355877
2024-10-29,Arugam Bay,2964.5066250433574
2024-10-30,Arugam Bay,2965.859972251127
2024-10-31,Arugam Bay,2967.213319458897
2024-11-01,Arugam Bay,2968.5666666666666
2024-11-02,Arugam Bay,2963.7866666666664
2024-11-03,Arugam Bay,2959.0066666666667
2024-11-04,Arugam Bay,2954.2266666666665
2024-11-05,Arugam Bay,2949.4466666666667
2024-11-06,Arugam Bay,2944.6666666666665
2024-11-07,Arugam Bay,2939.8866666666668
2024-11-08,Arugam Bay,2935.1066666666666
2024-11-09,Arugam Bay,2930.3266666666664
2024-11-10,Arugam Bay,2925.5466666666666
2024-11-11,Arugam Bay,2920.7666666666664
2024-11-12,Arugam Bay,2915.9866666666667
2024-11-13,Arugam Bay,2911.2066666666665
2024-11-14,Arugam Bay,2906.4266666666667
2024-11-15,Arugam Bay,2901.6466666666665
2024-11-16,Arugam Bay,2896.866666666667
2024-11-17,Arugam Bay,2892.0866666666666
2024-11-18,Arugam Bay,2887.3066666666664
2024-11-19,Arugam Bay,2882.5266666666666
2024-11-20,Arugam Bay,2877.7466666666664
2024-11-21,Arugam Bay,2872.9666666666667
2024-11-22,Arugam Bay,2868.1866666666665
2024-11-23,Arugam Bay,2863.4066666666668
2024-11-24,Arugam Bay,2858.6266666666666
2024-11-25,Arugam Bay,2853.8466666666664
2024-11-26,Arugam Bay,2849.0666666666666
2024-11-27,Arugam Bay,2844.2866666666664
2024-11-28,Arugam Bay,2839.5066666666667
2024-11-29,Arugam Bay,2834.7266666666665
2024-11-30,Arugam Bay,2829.9466666666667
2024-12-01,Arugam Bay,2825.1666666666665
2024-12-02,Arugam Bay,2825.1666666666665
2024-12-03,Arugam Bay,2825.1666666666665
2024-12-04,Arugam Bay,2825.1666666666665
2024-12-05,Arugam Bay,2825.1666666666665
2024-12-06,Arugam Bay,2825.1666666666665
2024-12-07,Arugam Bay,2825.1666666666665
2024-12-08,Arugam Bay,2825.1666666666665
2024-12-09,Arugam Bay,2825.1666666666665
2024-12-10,Arugam Bay,2825.1666666666665
2024-12-11,Arugam Bay,2825.1666666666665
2024-12-12,Arugam Bay,2825.1666666666665
2024-12-13,Arugam Bay,2825.1666666666665
2024-12-14,Arugam Bay,2825.1666666666665
2024-12-15,Arugam Bay,2825.1666666666665
2024-12-16,Arugam Bay,2825.1666666666665
2024-12-17,Arugam Bay,2825.1666666666665
2024-12-18,Arugam Bay,2825.1666666666665
2024-12-19,Arugam Bay,2825.1666666666665
2024-12-20,Arugam Bay,2825.1666666666665
2024-12-21,Arugam Bay,2825.1666666666665
2024-12-22,Arugam Bay,2825.1666666666665
2024-12-23,Arugam Bay,2825.1666666666665
2024-12-24,Arugam Bay,2825.1666666666665
2024-12-25,Arugam Bay,2825.1666666666665
2024-12-26,Arugam Bay,2825.1666666666665
2024-12-27,Arugam Bay,2825.1666666666665
2024-12-28,Arugam Bay,2825.1666666666665
2024-12-29,Arugam Bay,2825.1666666666665
2024-12-30,Arugam Bay,2825.1666666666665
2024-12-31,Arugam Bay,2825.1666666666665
2024-01-01,Dalawella,2837.4193548387098
2024-01-02,Dalawella,2839.154436829452
2024-01-03,Dalawella,2840.8895188201946
2024-01-04,Dalawella,2842.624600810937
2024-01-05,Dalawella,2844.3596828016794
2024-01-06,Dalawella,2846.0947647924218
2024-01-07,Dalawella,2847.829846783164
2024-01-08,Dalawella,2849.5649287739066
2024-01-09,Dalawella,2851.300010764649
2024-01-10,Dalawella,2853.0350927553914
2024-01-11,Dalawella,2854.7701747461338
