Surf Spot,Date,SST (°C)
Arugam Bay,2024-01-01,2805.483870967742
Arugam Bay,2024-01-02,2805.483870967742
Arugam Bay,2024-01-03,2805.483870967742
Arugam Bay,2024-01-04,2805.483870967742
Arugam Bay,2024-01-05,2805.483870967742
Arugam Bay,2024-01-06,2805.483870967742
Arugam Bay,2024-01-07,2805.483870967742
Arugam Bay,2024-01-08,2805.483870967742
Arugam Bay,2024-01-09,2805.483870967742
Arugam Bay,2024-01-10,2805.483870967742
Arugam Bay,2024-01-11,2805.483870967742
Arugam Bay,2024-01-12,2805.483870967742
Arugam Bay,2024-01-13,2805.483870967742
Arugam Bay,2024-01-14,2805.483870967742
Arugam Bay,2024-01-15,2805.483870967742
Arugam Bay,2024-01-16,2805.483870967742
Arugam Bay,2024-01-17,2805.483870967742
Arugam Bay,2024-01-18,2805.483870967742
Arugam Bay,2024-01-19,2805.483870967742
Arugam Bay,2024-01-20,2805.483870967742
Arugam Bay,2024-01-21,2805.483870967742
Arugam Bay,2024-01-22,2805.483870967742
Arugam Bay,2024-01-23,2805.483870967742
Arugam Bay,2024-01-24,2805.483870967742
Arugam Bay,2024-01-25,2805.483870967742
Arugam Bay,2024-01-26,2805.483870967742
Arugam Bay,2024-01-27,2805.483870967742
Arugam Bay,2024-01-28,2805.483870967742
Arugam Bay,2024-01-29,2805.483870967742
Arugam Bay,2024-01-30,2805.483870967742
Arugam Bay,2024-01-31,2805.483870967742
Arugam Bay,2024-02-01,2862.9310344827586
Arugam Bay,2024-02-02,2862.9310344827586
Arugam Bay,2024-02-03,2862.9310344827586
Arugam Bay,2024-02-04,2862.9310344827586
Arugam Bay,2024-02-05,2862.9310344827586
Arugam Bay,2024-02-06,2862.9310344827586
Arugam Bay,2024-02-07,2862.9310344827586
Arugam Bay,2024-02-08,2862.9310344827586
Arugam Bay,2024-02-09,2862.9310344827586
Arugam Bay,2024-02-10,2862.9310344827586
Arugam Bay,2024-02-11,2862.9310344827586
Arugam Bay,2024-02-12,2862.9310344827586
Arugam Bay,2024-02-13,2862.9310344827586
Arugam Bay,2024-02-14,2862.9310344827586
Arugam Bay,2024-02-15,2862.9310344827586
Arugam Bay,2024-02-16,2862.9310344827586
Arugam Bay,2024-02-17,2862.9310344827586
Arugam Bay,2024-02-18,2862.9310344827586
Arugam Bay,2024-02-19,2862.9310344827586
Arugam Bay,2024-02-20,2862.9310344827586
Arugam Bay,2024-02-21,2862.9310344827586
Arugam Bay,2024-02-22,2862.9310344827586
Arugam Bay,2024-02-23,2862.9310344827586
Arugam Bay,2024-02-24,2862.9310344827586
Arugam Bay,2024-02-25,2862.9310344827586
Arugam Bay,2024-02-26,2862.9310344827586
Arugam Bay,2024-02-27,2862.9310344827586
Arugam Bay,2024-02-28,2862.9310344827586
Arugam Bay,2024-02-29,2862.9310344827586
Arugam Bay,2024-03-01,2939.8709677419356
Arugam Bay,2024-03-02,2939.8709677419356
Arugam Bay,2024-03-03,2939.8709677419356
Arugam Bay,2024-03-04,2939.8709677419356
Arugam Bay,2024-03-05,2939.8709677419356
Arugam Bay,2024-03-06,2939.8709677419356
Arugam Bay,2024-03-07,2939.8709677419356
Arugam Bay,2024-03-08,2939.8709677419356
Arugam Bay,2024-03-09,2939.8709677419356
Arugam Bay,2024-03-10,2939.8709677419356
Arugam Bay,2024-03-11,2939.8709677419356
Arugam Bay,2024-03-12,2939.8709677419356
Arugam Bay,2024-03-13,2939.8709677419356
Arugam Bay,2024-03-14,2939.8709677419356
Arugam Bay,2024-03-15,2939.8709677419356
Arugam Bay,2024-03-16,2939.8709677419356
Arugam Bay,2024-03-17,2939.8709677419356
Arugam Bay,2024-03-18,2939.8709677419356
Arugam Bay,2024-03-19,2939.8709677419356
Arugam Bay,2024-03-20,2939.8709677419356
Arugam Bay,2024-03-21,2939.8709677419356
Arugam Bay,2024-03-22,2939.8709677419356
Arugam Bay,2024-03-23,2939.8709677419356
Arugam Bay,2024-03-24,2939.8709677419356
Arugam Bay,2024-03-25,2939.8709677419356
Arugam Bay,2024-03-26,2939.8709677419356
Arugam Bay,2024-03-27,2939.8709677419356
Arugam Bay,2024-03-28,2939.8709677419356
Arugam Bay,2024-03-29,2939.8709677419356
Arugam Bay,2024-03-30,2939.8709677419356
Arugam Bay,2024-03-31,2939.8709677419356
Arugam Bay,2024-04-01,3045.766666666667
Arugam Bay,2024-04-02,3045.766666666667
Arugam Bay,2024-04-03,3045.766666666667
Arugam Bay,2024-04-04,3045.766666666667
Arugam Bay,2024-04-05,3045.766666666667
Arugam Bay,2024-04-06,3045.766666666667
Arugam Bay,2024-04-07,3045.766666666667
Arugam Bay,2024-04-08,3045.766666666667
Arugam Bay,2024-04-09,3045.766666666667
Arugam Bay,2024-04-10,3045.766666666667
Arugam Bay,2024-04-11,3045.766666666667
Arugam Bay,2024-04-12,3045.766666666667
Arugam Bay,2024-04-13,3045.766666666667
Arugam Bay,2024-04-14,3045.766666666667
Arugam Bay,2024-04-15,3045.766666666667
Arugam Bay,2024-04-16,3045.766666666667
Arugam Bay,2024-04-17,3045.766666666667
Arugam Bay,2024-04-18,3045.766666666667
Arugam Bay,2024-04-19,3045.766666666667
Arugam Bay,2024-04-20,3045.766666666667
Arugam Bay,2024-04-21,3045.766666666667
Arugam Bay,2024-04-22,3045.766666666667
Arugam Bay,2024-04-23,3045.766666666667
Arugam Bay,2024-04-24,3045.766666666667
Arugam Bay,2024-04-25,3045.766666666667
Arugam Bay,2024-04-26,3045.766666666667
Arugam Bay,2024-04-27,3045.766666666667
Arugam Bay,2024-04-28,3045.766666666667
Arugam Bay,2024-04-29,3045.766666666667
Arugam Bay,2024-04-30,3045.766666666667
Arugam Bay,2024-05-01,3023.2580645161293
Arugam Bay,2024-05-02,3023.2580645161293
Arugam Bay,2024-05-03,3023.2580645161293
Arugam Bay,2024-05-04,3023.2580645161293
Arugam Bay,2024-05-05,3023.2580645161293
Arugam Bay,2024-05-06,3023.2580645161293
Arugam Bay,2024-05-07,3023.2580645161293
Arugam Bay,2024-05-08,3023.2580645161293
Arugam Bay,2024-05-09,3023.2580645161293
Arugam Bay,2024-05-10,3023.2580645161293
Arugam Bay,2024-05-11,3023.2580645161293
Arugam Bay,2024-05-12,3023.2580645161293
Arugam Bay,2024-05-13,3023.2580645161293
Arugam Bay,2024-05-14,3023.2580645161293
Arugam Bay,2024-05-15,3023.2580645161293
Arugam Bay,2024-05-16,3023.2580645161293
Arugam Bay,2024-05-17,3023.2580645161293
Arugam Bay,2024-05-18,3023.2580645161293
Arugam Bay,2024-05-19,3023.2580645161293
Arugam Bay,2024-05-20,3023.2580645161293
Arugam Bay,2024-05-21,3023.2580645161293
Arugam Bay,2024-05-22,3023.2580645161293
Arugam Bay,2024-05-23,3023.2580645161293
Arugam Bay,2024-05-24,3023.2580645161293
Arugam Bay,2024-05-25,3023.2580645161293
Arugam Bay,2024-05-26,3023.2580645161293
Arugam Bay,2024-05-27,3023.2580645161293
Arugam Bay,2024-05-28,3023.2580645161293
Arugam Bay,2024-05-29,3023.2580645161293
Arugam Bay,2024-05-30,3023.2580645161293
Arugam Bay,2024-05-31,3023.2580645161293
Arugam Bay,2024-06-01,3006.3
Arugam Bay,2024-06-02,3006.3
Arugam Bay,2024-06-03,3006.3
Arugam Bay,2024-06-04,3006.3
Arugam Bay,2024-06-05,3006.3
