Surf Spot,Month,SST (°C)
Arugam Bay,2024-01,2805.483870967742
Arugam Bay,2024-02,2862.9310344827586
Arugam Bay,2024-03,2939.8709677419356
Arugam Bay,2024-04,3045.766666666667
Arugam Bay,2024-05,3023.2580645161293
Arugam Bay,2024-06,3006.3
Arugam Bay,2024-07,2968.1612903225805
Arugam Bay,2024-08,2932.1612903225805
Arugam Bay,2024-09,2941.4666666666667
Arugam Bay,2024-10,2926.6129032258063
Arugam Bay,2024-11,2968.5666666666666
Arugam Bay,2024-12,2825.1666666666665
Dalawella,2024-01,2837.4193548387098
Dalawella,2024-02,2891.206896551724
Dalawella,2024-03,2950.935483870968
Dalawella,2024-04,3048.8
Dalawella,2024-05,2948.516129032258
Dalawella,2024-06,2899.5333333333333
Dalawella,2024-07,2881.2258064516127
Dalawella,2024-08,2874.967741935484
Dalawella,2024-09,2906.766666666667
Dalawella,2024-10,2881.7096774193546
Dalawella,2024-11,2970.5
Dalawella,2024-12,2891.633333333333
Devils rock,2024-01,2837.4193548387098
Devils rock,2024-02,2891.206896551724
Devils rock,2024-03,2950.935483870968
Devils rock,2024-04,3048.8
Devils rock,2024-05,2948.516129032258
Devils rock,2024-06,2899.5333333333333
Devils rock,2024-07,2881.2258064516127
Devils rock,2024-08,2874.967741935484
Devils rock,2024-09,2906.766666666667
Devils rock,2024-10,2881.7096774193546
Devils rock,2024-11,2970.5
Devils rock,2024-12,2891.633333333333
"Dewata, Galle",2024-01,2842.967741935484
"Dewata, Galle",2024-02,2914.206896551724
"Dewata, Galle",2024-03,2960.6129032258063
"Dewata, Galle",2024-04,3065.9
"Dewata, Galle",2024-05,2969.8064516129034
"Dewata, Galle",2024-06,2909.766666666667
"Dewata, Galle",2024-07,2896.2903225806454
"Dewata, Galle",2024-08,2890.8387096774195
"Dewata, Galle",2024-09,2909.133333333333
"Dewata, Galle",2024-10,2883.451612903226
"Dewata, Galle",2024-11,2966.9333333333334
"Dewata, Galle",2024-12,2897.233333333333
Elephant rock,2024-01,2805.483870967742
Elephant rock,2024-02,2862.9310344827586
Elephant rock,2024-03,2939.8709677419356
Elephant rock,2024-04,3045.766666666667
Elephant rock,2024-05,3023.2580645161293
Elephant rock,2024-06,3006.3
Elephant rock,2024-07,2968.1612903225805
Elephant rock,2024-08,2932.1612903225805
Elephant rock,2024-09,2941.4666666666667
Elephant rock,2024-10,2926.6129032258063
Elephant rock,2024-11,2968.5666666666666
