system:index,date,mean_sst,.geo
20230101,2023-01-01,2729.8798264163815,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102,2023-01-02,2735.0652218428754,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230103,2023-01-03,2728.00873431231,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230104,2023-01-04,2738.4252424775937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105,2023-01-05,2745.9066594208975,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230106,2023-01-06,2746.7297935347215,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230107,2023-01-07,2736.5154839116253,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230108,2023-01-08,2730.96607676587,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230109,2023-01-09,2724.5526204905896,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230110,2023-01-10,2718.766010608766,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230111,2023-01-11,2711.2507570656285,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230112,2023-01-12,2706.6222035827327,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230113,2023-01-13,2711.5803631552226,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230114,2023-01-14,2709.9607960116787,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230115,2023-01-15,2704.177108068416,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230116,2023-01-16,2707.9707451730965,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230117,2023-01-17,2712.7295552904034,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230118,2023-01-18,2708.9952410205574,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230119,2023-01-19,2702.389041155232,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230120,2023-01-20,2694.5497773104867,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121,2023-01-21,2690.1455790912037,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230122,2023-01-22,2700.4116015137442,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230123,2023-01-23,2703.3739943530245,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230124,2023-01-24,2700.71342359052,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230125,2023-01-25,2696.659934788012,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230126,2023-01-26,2692.747663827432,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230127,2023-01-27,2689.7667410934146,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230128,2023-01-28,2698.495945908703,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230129,2023-01-29,2699.503177903539,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230130,2023-01-30,2706.138813740204,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230131,2023-01-31,2705.8494118712647,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230201,2023-02-01,2711.430135346408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230202,2023-02-02,2707.4352585836964,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230203,2023-02-03,2708.3185050858274,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230204,2023-02-04,2709.782573511171,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230205,2023-02-05,2712.3071894652753,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230206,2023-02-06,2713.926951535997,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230207,2023-02-07,2717.816120673705,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208,2023-02-08,2725.0421613681956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230209,2023-02-09,2736.064030621291,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230210,2023-02-10,2748.1900776164593,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230211,2023-02-11,2766.9475409642428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230212,2023-02-12,2767.6496233377065,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230213,2023-02-13,2760.111846846317,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230214,2023-02-14,2752.435040028986,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230215,2023-02-15,2751.083048818431,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230216,2023-02-16,2747.659501616521,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230217,2023-02-17,2754.306783859249,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230218,2023-02-18,2758.44433746422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230219,2023-02-19,2765.5963393071656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230220,2023-02-20,2770.7030373197,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230221,2023-02-21,2773.284176245668,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230222,2023-02-22,2775.171888352025,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230223,2023-02-23,2785.8713736655423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230224,2023-02-24,2809.8697177690906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230225,2023-02-25,2800.2515741845573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230226,2023-02-26,2792.8887970040373,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230227,2023-02-27,2788.0418227068562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230228,2023-02-28,2786.084620049547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230301,2023-03-01,2794.067251841963,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230302,2023-03-02,2805.003361016937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230303,2023-03-03,2816.1805931299077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230304,2023-03-04,2823.445184117578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230305,2023-03-05,2825.2885926258477,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230306,2023-03-06,2831.126023367639,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230307,2023-03-07,2828.838669218448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230308,2023-03-08,2822.1385124891212,"{""type"":""MultiPoint"",""coordinates"":[]}"
