system:index,GRD_Post_Processing_facility_country,GRD_Post_Processing_facility_name,GRD_Post_Processing_facility_org,GRD_Post_Processing_facility_site,GRD_Post_Processing_software_name,GRD_Post_Processing_software_version,GRD_Post_Processing_start,GRD_Post_Processing_stop,S1TBX_Calibration_vers,S1TBX_SAR_Processing_vers,SLC_Processing_facility_country,SLC_Processing_facility_name,SLC_Processing_facility_org,SLC_Processing_facility_site,SLC_Processing_software_name,SLC_Processing_software_version,SLC_Processing_start,SLC_Processing_stop,SNAP_Graph_Processing_Framework_GPF_vers,cycleNumber,familyName,instrument,instrumentConfigurationID,instrumentMode,instrumentSwath,missionDataTakeID,nssdcIdentifier,orbitNumber_start,orbitNumber_stop,orbitProperties_ascendingNodeTime,orbitProperties_pass,phaseIdentifier,platformHeading,platform_number,productClass,productClassDescription,productComposition,productTimelinessCategory,productType,relativeOrbitNumber_start,relativeOrbitNumber_stop,resolution,resolution_meters,segmentStartTime,sliceNumber,sliceProductFlag,startTimeANX,stopTimeANX,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_end,system:time_start,system:version,totalSlices,transmitterReceiverPolarisation,.geo
S1A_IW_GRDH_1SDV_20230105T002453_20230105T002522_046641_059722_1031,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.67289828587E12,1.672898879E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672898436E12,1.672898759E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366370.0,2014-016A,46641.0,46641.0,1.672875489056E12,DESCENDING,1.0,-167.9941645339468,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,19.0,19.0,H,10.0,1.672878293685E12,1.0,true,2804315.0,2833328.0,4523732805,"[VV, VH, angle]",<Element>,"LinearRing(82.16481907110544,9.965153760282522, 82.09844153473222,9.978604788161897, 81.53761106650387,10.091430306682836, 81.40093073466359,10.118720571475887, 80.5987574037537,10.21205761155065, 79.8912528514499,10.290579231633506, 79.8909330898872,10.289293551851033, 79.81037149839092,9.886289676729913, 79.72995022577219,9.48328212877634, 79.64965668913133,9.080271587968673, 79.56660926299229,8.662821453399449, 79.5817712048062,8.659794247106687, 80.20621676765474,8.535204396804941, 81.80445553497879,8.211388577451963, 81.85735533273233,8.467836658529887, 81.88665740312554,8.61044344822373, 81.92813666935747,8.812338139249158, 81.97395971396125,9.03544553829139, 82.0193162648982,9.256327224425997, 82.0702106823719,9.504197292388302, 82.1173547415254,9.73390080083972, 82.16481907110544,9.965153760282522)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230105T002453_20230105T002522_046641_059722_1031,1.672878293E12,1.672878293E12,1737557846709789,3.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[82.16481907110544,9.965153760282524],[82.09844153473222,9.978604788161897],[81.53761106650387,10.091430306682835],[81.40093073466359,10.118720571475887],[80.5987574037537,10.21205761155065],[79.8912528514499,10.290579231633505],[79.8909330898872,10.289293551851033],[79.81037149839092,9.886289676729913],[79.72995022577219,9.48328212877634],[79.64965668913133,9.080271587968674],[79.56660926299229,8.66282145339945],[79.5817712048062,8.659794247106685],[80.20621676765474,8.535204396804943],[81.80445553497879,8.211388577451961],[81.85735533273233,8.467836658529887],[81.88665740312554,8.610443448223732],[81.92813666935747,8.812338139249157],[81.97395971396125,9.03544553829139],[82.01931626489821,9.256327224425998],[82.07021068237191,9.504197292388302],[82.1173547415254,9.73390080083972],[82.16481907110544,9.965153760282524]]]}"
S1A_IW_GRDH_1SDV_20230105T002522_20230105T002547_046641_059722_6788,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672898190146E12,1.672898761E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672898334E12,1.672898661E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366370.0,2014-016A,46641.0,46641.0,1.672875489056E12,DESCENDING,1.0,-168.009728026958,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,19.0,19.0,H,10.0,1.672878293685E12,2.0,true,2833330.0,2858329.0,4067174195,"[VV, VH, angle]",<Element>,"LinearRing(79.26787357803848,7.175565204219937, 79.26368749794968,7.154531196096811, 80.38939867526366,6.925952921275617, 81.48819759462732,6.700040077588816, 81.49060535602281,6.7000376924510805, 81.49409942196266,6.714721148702569, 81.50820722151828,6.781231487791675, 81.55024534035444,6.9814554091313, 81.59916266343615,7.215582534051405, 81.6886899842167,7.6482672149169195, 81.70725863633021,7.7384861018929465, 81.73836348165314,7.889802901460383, 81.7693479853171,8.040521046327337, 81.80452326527741,8.211656850185907, 81.51232601398574,8.271382186823276, 79.56665016097148,8.663081210460124, 79.49166455245202,8.290293380823556, 79.41700032465008,7.9187099283631355, 79.34240651731658,7.547133154971018, 79.26787357803848,7.175565204219937)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230105T002522_20230105T002547_046641_059722_6788,1.672878322E12,1.672878322E12,1737557846709789,3.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[79.26787357803848,7.175565204219937],[79.26368749794968,7.154531196096811],[80.38939867526366,6.925952921275617],[81.48819759462732,6.700040077588816],[81.49060535602281,6.7000376924510805],[81.49409942196266,6.714721148702569],[81.50820722151828,6.781231487791675],[81.55024534035445,6.981455409131299],[81.59916266343615,7.215582534051405],[81.6886899842167,7.6482672149169195],[81.70725863633021,7.7384861018929465],[81.73836348165314,7.889802901460381],[81.7693479853171,8.040521046327338],[81.80452326527741,8.211656850185907],[81.51232601398574,8.271382186823276],[79.56665016097148,8.663081210460126],[79.49166455245202,8.290293380823556],[79.41700032465008,7.918709928363137],[79.34240651731658,7.547133154971018],[79.26787357803848,7.175565204219937]]]}"
S1A_IW_GRDH_1SDV_20230105T002547_20230105T002612_046641_059722_420C,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672898190609E12,1.672898719E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672898328E12,1.672898607E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366370.0,2014-016A,46641.0,46641.0,1.672875489056E12,DESCENDING,1.0,-168.0214387387517,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,19.0,19.0,H,10.0,1.672878293685E12,3.0,true,2858330.0,2883754.0,3940454396,"[VV, VH, angle]",<Element>,"LinearRing(81.48976042011483,6.693796580940274, 81.49040549397658,6.6998656916874735, 80.94196799477443,6.812975499644459, 80.10612005682117,6.984051065927268, 79.26373068097314,7.154800116245937, 79.18453856287272,6.763861356785447, 79.10802602592582,6.385937772107144, 79.03154736804277,6.008030820369149, 78.95391302981437,5.624308174120507, 78.96456178428967,5.620793403171745, 79.65426489414216,5.479062279995046, 81.2001314074139,5.285763072122179, 81.23657219714092,5.456093026074086, 81.27764443733845,5.655322617687517, 81.32830143099761,5.901204271502291, 81.36506198212355,6.079738630111674, 81.40038109092741,6.251251120214617, 81.43747161585162,6.4335636752286165, 81.47690135069458,6.627607816581043, 81.48723267592493,6.679349955440239, 81.48976042011483,6.693796580940274)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230105T002547_20230105T002612_046641_059722_420C,1.672878347E12,1.672878347E12,1737557846709789,3.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[81.48976042011483,6.693796580940274],[81.49040549397658,6.6998656916874735],[80.94196799477443,6.812975499644459],[80.10612005682117,6.984051065927268],[79.26373068097314,7.154800116245938],[79.18453856287272,6.763861356785448],[79.10802602592582,6.385937772107144],[79.03154736804277,6.008030820369148],[78.95391302981437,5.624308174120508],[78.96456178428967,5.620793403171746],[79.65426489414216,5.479062279995046],[81.2001314074139,5.285763072122179],[81.23657219714092,5.456093026074086],[81.27764443733845,5.655322617687517],[81.32830143099761,5.901204271502291],[81.36506198212355,6.079738630111674],[81.40038109092741,6.251251120214616],[81.43747161585162,6.4335636752286165],[81.47690135069458,6.627607816581043],[81.48723267592493,6.67934995544024],[81.48976042011483,6.693796580940274]]]}"
S1A_IW_GRDH_1SDV_20230105T124923_20230105T124952_046649_059760_4046,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672930928222E12,1.672931506E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.67293107E12,1.67293139E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366432.0,2014-016A,46649.0,46649.0,1.672922885554E12,ASCENDING,1.0,-11.97978252815087,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,27.0,27.0,H,10.0,1.672922963955E12,1.0,true,78102.73,107100.6,4536811244,"[VV, VH, angle]",<Element>,"LinearRing(82.44065404063512,7.611799031019895, 82.43915776684484,7.619009459003447, 80.5555403259406,7.236451043052562, 80.210172907651,7.165372401612311, 80.21455101236334,7.132572406235753, 80.23571371116863,7.024807769745768, 80.28687763786867,6.775237168922936, 80.29835926165768,6.719624569427944, 80.42131342305015,6.125616905644759, 80.54393694966048,5.531542567279955, 80.56857301679327,5.412078711692885, 80.57020081391673,5.412079861722539, 81.32644726713905,5.569247935797011, 82.09241096162954,5.793304902491275, 82.76789430753797,5.990997971063448, 82.76789833905748,5.992229133825543, 82.68720208382948,6.392006229311261, 82.60699440678214,6.789144075290098, 82.52672873121335,7.186293423453848, 82.44065404063512,7.611799031019895)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230105T124923_20230105T124952_046649_059760_4046,1.672922963E12,1.672922963E12,1737557846709789,3.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[82.44065404063512,7.611799031019893],[82.43915776684484,7.619009459003447],[80.5555403259406,7.236451043052562],[80.210172907651,7.165372401612309],[80.21455101236334,7.132572406235753],[80.23571371116863,7.024807769745768],[80.28687763786867,6.775237168922937],[80.29835926165768,6.719624569427944],[80.42131342305015,6.12561690564476],[80.54393694966048,5.531542567279955],[80.56857301679327,5.412078711692885],[80.57020081391673,5.412079861722539],[81.32644726713905,5.569247935797011],[82.09241096162954,5.793304902491275],[82.76789430753797,5.9909979710634484],[82.76789833905748,5.992229133825542],[82.68720208382948,6.39200622931126],[82.60699440678214,6.789144075290099],[82.52672873121335,7.186293423453848],[82.44065404063512,7.611799031019893]]]}"
S1A_IW_GRDH_1SDV_20230105T124952_20230105T125017_046649_059760_AA4F,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672930941623E12,1.672931524E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672931101E12,1.672931416E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366432.0,2014-016A,46649.0,46649.0,1.672922885554E12,ASCENDING,1.0,-11.99270836037284,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,27.0,27.0,H,10.0,1.672922963955E12,2.0,true,107102.1,132100.2,4052932734,"[VV, VH, angle]",<Element>,"LinearRing(80.21012600941481,7.1654149836351975, 80.2117626659794,7.16541779089333, 81.49989123739974,7.429047890352523, 82.438941164505,7.618680794053376, 82.43894653823534,7.620291785594428, 82.36107925290136,8.00948198171516, 82.28741409766315,8.377259343062802, 82.21366110587046,8.745037159020406, 82.13691512993078,9.127219076453628, 80.61837542308011,8.823742193365803, 80.09929636034069,8.718464123753005, 79.89538615402427,8.676894839662223, 79.90290853225443,8.64002153426454, 79.91730186224042,8.56995941444462, 79.98850393097058,8.225137160874572, 80.17218301436067,7.334741611968739, 80.1878098205589,7.259877514231448, 80.20479740158403,7.180397970010122, 80.2072592099427,7.172253645659886, 80.21012600941481,7.1654149836351975)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230105T124952_20230105T125017_046649_059760_AA4F,1.672922992E12,1.672922992E12,1737557846709789,3.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[80.21012600941481,7.165414983635197],[80.2117626659794,7.165417790893332],[81.49989123739974,7.429047890352521],[82.438941164505,7.618680794053377],[82.43894653823536,7.620291785594426],[82.36107925290136,8.009481981715162],[82.28741409766315,8.377259343062802],[82.21366110587046,8.745037159020406],[82.13691512993078,9.127219076453628],[80.61837542308011,8.823742193365801],[80.0992963603407,8.718464123753005],[79.89538615402427,8.676894839662223],[79.90290853225443,8.64002153426454],[79.91730186224042,8.56995941444462],[79.98850393097058,8.225137160874572],[80.17218301436067,7.334741611968739],[80.1878098205589,7.25987751423145],[80.20479740158403,7.18039797001012],[80.2072592099427,7.172253645659886],[80.21012600941481,7.165414983635197]]]}"
S1A_IW_GRDH_1SDV_20230105T125017_20230105T125037_046649_059760_753C,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672930924098E12,1.67293135E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.672931037E12,1.67293125E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366432.0,2014-016A,46649.0,46649.0,1.672922885554E12,ASCENDING,1.0,-12.00597674507795,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,27.0,27.0,H,10.0,1.672922963955E12,3.0,true,132101.7,152014.7,3039125568,"[VV, VH, angle]",<Element>,"LinearRing(79.8268393734575,9.01027700276426, 79.84290407193552,8.932080783486228, 79.86798513443662,8.80998345996656, 79.89537906374525,8.676663579697133, 79.92014430811395,8.681665941223907, 81.53851707706548,9.008155277989207, 82.1366532563357,9.126884453040184, 82.13665832111633,9.128484303206918, 82.01612779893654,9.734217963363541, 81.89824167794481,10.325055857855723, 81.89763738309944,10.326260934226399, 81.88854628025736,10.324599085946398, 81.59499677335691,10.267211308522825, 81.18675464451738,10.186845285414261, 79.67363960989088,9.757523114470324, 79.67364440564697,9.756321521788735, 79.69064991625093,9.673368629504342, 79.75049135706702,9.381961814452257, 79.77938975699554,9.241263528386362, 79.79826829931645,9.149358892292328, 79.8268393734575,9.01027700276426)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230105T125017_20230105T125037_046649_059760_753C,1.672923017E12,1.672923017E12,1737557846709789,3.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[79.8268393734575,9.01027700276426],[79.84290407193552,8.932080783486228],[79.86798513443664,8.809983459966562],[79.89537906374525,8.676663579697133],[79.92014430811395,8.681665941223907],[81.53851707706548,9.008155277989207],[82.13665325633572,9.126884453040184],[82.13665832111633,9.128484303206918],[82.01612779893654,9.734217963363543],[81.89824167794481,10.325055857855723],[81.89763738309944,10.326260934226397],[81.88854628025736,10.324599085946398],[81.59499677335691,10.267211308522826],[81.18675464451738,10.18684528541426],[79.67363960989088,9.757523114470324],[79.67364440564697,9.756321521788735],[79.69064991625093,9.67336862950434],[79.75049135706702,9.381961814452255],[79.77938975699554,9.241263528386362],[79.79826829931645,9.149358892292328],[79.8268393734575,9.01027700276426]]]}"
S1A_IW_GRDH_1SDV_20230110T003244_20230110T003309_046714_05998A_6DA6,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.673337607274E12,1.673338189E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.673337765E12,1.67333809E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366986.0,2014-016A,46714.0,46714.0,1.673307982409E12,DESCENDING,1.0,-167.9731569731778,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,92.0,92.0,H,10.0,1.673310285752E12,20.0,true,2782044.0,2807043.0,4064816880,"[VV, VH, angle]",<Element>,"LinearRing(80.07399692526464,9.801154158346652, 80.07672411581282,9.813485981874816, 80.11113560168366,9.98109262574021, 80.15877970423642,10.213176922252785, 80.21738148077523,10.498689468340835, 80.25268245905924,10.67063762448105, 80.30357435752396,10.918469236481592, 80.36235770065242,11.204795435567888, 80.38376853415198,11.30906778362141, 80.38375834135576,11.31380865670217, 79.25515020206264,11.537616366240664, 78.6933209940696,11.647222939583685, 78.12189390962884,11.757443718374555, 78.12151948848238,11.756297867202948, 78.11285835779545,11.716369762411096, 78.0446394675491,11.371329410187741, 77.97648270306885,11.02630804856002, 77.9083803540099,10.681306679971536, 77.84032494908281,10.336326854066815, 77.82319903670468,10.248846368749733, 79.01981538149353,10.01289149420883, 80.07399692526464,9.801154158346652)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230110T003244_20230110T003309_046714_05998A_6DA6,1.673310764E12,1.673310764E12,1737557846709789,22.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[80.07399692526464,9.801154158346652],[80.07672411581282,9.813485981874814],[80.11113560168366,9.98109262574021],[80.15877970423642,10.213176922252787],[80.21738148077523,10.498689468340837],[80.25268245905924,10.67063762448105],[80.30357435752396,10.918469236481593],[80.36235770065242,11.204795435567888],[80.38376853415198,11.30906778362141],[80.38375834135576,11.313808656702172],[79.25515020206264,11.537616366240666],[78.6933209940696,11.647222939583685],[78.12189390962884,11.757443718374555],[78.12151948848238,11.75629786720295],[78.11285835779545,11.716369762411098],[78.04463946754912,11.371329410187741],[77.97648270306885,11.026308048560018],[77.9083803540099,10.681306679971536],[77.84032494908281,10.336326854066813],[77.82319903670468,10.248846368749735],[79.01981538149353,10.01289149420883],[80.07399692526464,9.801154158346652]]]}"
S1A_IW_GRDH_1SDV_20230110T003309_20230110T003334_046714_05998A_31FD,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.673337633136E12,1.67333824E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.673337792E12,1.673338123E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366986.0,2014-016A,46714.0,46714.0,1.673307982409E12,DESCENDING,1.0,-167.9923472440129,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,92.0,92.0,H,10.0,1.673310285752E12,21.0,true,2807044.0,2832042.0,4053715219,"[VV, VH, angle]",<Element>,"LinearRing(77.59298829869871,9.091692697210455, 77.52436985972828,8.740263587358559, 79.03453080101427,8.437362203836233, 79.7633274079395,8.288910343263773, 79.78971221862612,8.415890054043675, 79.82358277198492,8.580794668418608, 79.87668915139994,8.839325692786941, 79.9250618130007,9.074862071797844, 79.96783798770392,9.283133422115265, 80.01187509317442,9.497618588622887, 80.04064178635103,9.63773051440873, 80.0740886542456,9.801417381364615, 78.93789825622468,10.029554179030674, 78.38418515362247,10.139160927390952, 77.82339597064774,10.249089617138111, 77.80114081432141,10.14632368423609, 77.75500016330129,9.919646846162548, 77.71857271991946,9.734525502124525, 77.6348430791346,9.305959454238538, 77.59298829869871,9.091692697210455)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230110T003309_20230110T003334_046714_05998A_31FD,1.673310789E12,1.673310789E12,1737557846709789,22.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[77.59298829869871,9.091692697210455],[77.52436985972828,8.740263587358559],[79.03453080101427,8.437362203836233],[79.7633274079395,8.288910343263773],[79.78971221862612,8.415890054043675],[79.82358277198492,8.580794668418608],[79.87668915139994,8.839325692786941],[79.9250618130007,9.074862071797844],[79.96783798770392,9.283133422115265],[80.01187509317442,9.497618588622885],[80.04064178635103,9.637730514408732],[80.07408865424561,9.801417381364615],[78.93789825622468,10.029554179030674],[78.38418515362247,10.139160927390954],[77.82339597064774,10.249089617138111],[77.80114081432143,10.14632368423609],[77.75500016330129,9.919646846162548],[77.71857271991946,9.734525502124526],[77.6348430791346,9.305959454238536],[77.59298829869871,9.091692697210455]]]}"
S1A_IW_GRDH_1SDV_20230110T003334_20230110T003353_046714_05998A_A412,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.67333684779E12,1.673337289E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.67333698E12,1.673337199E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,366986.0,2014-016A,46714.0,46714.0,1.673307982409E12,DESCENDING,1.0,-168.0065763255053,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,92.0,92.0,H,10.0,1.673310285752E12,22.0,true,2832044.0,2851393.0,2951623988,"[VV, VH, angle]",<Element>,"LinearRing(79.6803622378012,7.88505755459122, 79.70148450421568,7.987833233485333, 79.73588892179669,8.155275536271496, 79.76339644892418,8.289177088769804, 78.63403376333031,8.518689336342973, 78.08141833926312,8.629638730042142, 77.52459330452521,8.740504466477285, 77.52427502241488,8.739856195877085, 77.4612291828144,8.493050621121835, 77.45539130560952,8.469969051143686, 77.41425006725096,8.245735384037351, 77.37330194987337,8.022601078057775, 77.33234585283822,7.799480652084027, 77.29117451724534,7.575255800608895, 77.29555804166897,7.574201838112234, 77.9956965824029,7.43294814189676, 78.77151567376913,7.338792338435752, 79.54839617295518,7.243072232447662, 79.57471484826158,7.371071593864176, 79.60304591144562,7.5088772531980235, 79.6446292563526,7.7111651757019, 79.6803622378012,7.88505755459122)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230110T003334_20230110T003353_046714_05998A_A412,1.673310814E12,1.673310814E12,1737557846709789,22.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[79.6803622378012,7.88505755459122],[79.70148450421568,7.987833233485334],[79.73588892179669,8.155275536271494],[79.76339644892418,8.289177088769804],[78.63403376333031,8.518689336342973],[78.08141833926312,8.629638730042142],[77.52459330452521,8.740504466477285],[77.5242750224149,8.739856195877087],[77.4612291828144,8.493050621121837],[77.45539130560952,8.469969051143686],[77.41425006725096,8.245735384037353],[77.37330194987337,8.022601078057775],[77.33234585283822,7.799480652084025],[77.29117451724534,7.575255800608895],[77.29555804166897,7.5742018381122325],[77.9956965824029,7.432948141896758],[78.77151567376913,7.338792338435752],[79.54839617295518,7.243072232447662],[79.57471484826158,7.371071593864176],[79.60304591144562,7.5088772531980235],[79.6446292563526,7.7111651757019],[79.6803622378012,7.88505755459122]]]}"
S1A_IW_GRDH_1SDV_20230112T001715_20230112T001751_046743_059A8E_EBF3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.673488963429E12,1.673489668E12,8.0.3,8.0.3,Italy,Copernicus Ground Segment,ESA,Production Service-SERCO,Sentinel-1 IPF,003.52,1.673489115E12,1.673489551E12,8.0.3,281.0,SENTINEL-1,Synthetic Aperture Radar,7.0,IW,IW,367246.0,2014-016A,46743.0,46743.0,1.673479794577E12,DESCENDING,1.0,-168.0158166924994,A,S,SAR Standard L1 Product,Slice,Fast-24h,GRD,121.0,121.0,H,10.0,1.673482636066E12,1.0,true,2841180.0,2876484.0,5359697399,"[VV, VH, angle]",<Element>,"LinearRing(83.4582654080627,6.249316922514853, 83.4860828268167,6.384412825423878, 83.51579123820925,6.528703040418058, 83.54489586713495,6.670115185694961, 83.63042841283011,7.085805931513398, 83.6583261176597,7.221427304132686, 83.68583677292429,7.355199944452033, 83.71367503525104,7.490580091780416, 83.74246520981268,7.630633092616514, 83.7639204084706,7.735016391446076, 83.76393004947835,7.736495704284447, 83.70798643528362,7.74802986090248, 83.005965122938,7.891536254856117, 82.20851487623631,7.987123133548713, 81.50623559150354,8.0673462950937, 81.36081175551907,7.369403669147036, 81.10197968386578,6.0633866225039075, 81.11176471905553,6.060503603178255, 81.8037664673884,5.918862171898162, 83.35034164521753,5.725556680213168, 83.3814375709049,5.876392974803171, 83.42130303910858,6.069866768529369, 83.4582654080627,6.249316922514853)",COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230112T001715_20230112T001751_046743_059A8E_EBF3,1.673482635E12,1.673482635E12,1737557846709789,1.0,"[VV, VH]","{""type"":""Polygon"",""coordinates"":[[[83.4582654080627,6.249316922514852],[83.4860828268167,6.384412825423879],[83.51579123820925,6.528703040418058],[83.54489586713495,6.670115185694961],[83.63042841283011,7.0858059315133985],[83.6583261176597,7.221427304132686],[83.68583677292429,7.355199944452033],[83.71367503525104,7.490580091780416],[83.74246520981268,7.630633092616512],[83.7639204084706,7.735016391446076],[83.76393004947835,7.736495704284447],[83.70798643528362,7.74802986090248],[83.005965122938,7.891536254856115],[82.20851487623631,7.987123133548713],[81.50623559150354,8.067346295093698],[81.36081175551907,7.369403669147036],[81.10197968386578,6.0633866225039075],[81.11176471905554,6.0605036031782555],[81.8037664673884,5.918862171898162],[83.35034164521753,5.725556680213168],[83.3814375709049,5.87639297480317],[83.42130303910858,6.06986676852937],[83.4582654080627,6.249316922514852]]]}"
