Date,Surf Spot,VV,VH
2024-01-01,Arugam Bay,-15.933845659964014,-26.332668924704098
2024-02-01,Arugam Bay,-15.94562182519633,-26.10978581399549
2024-03-01,Arugam Bay,-16.234888508187307,-27.03091436273135
2024-04-01,Arugam Bay,-16.291184576001914,-27.200224289545076
2024-05-01,Arugam Bay,-15.861806963669954,-26.571278410402257
2024-06-01,Arugam Bay,-15.189401099205677,-25.819660100379636
2024-07-01,Arugam Bay,-15.90879553966612,-26.48766279057548
2024-08-01,Arugam Bay,-15.85445712588981,-26.844238724055312
2024-09-01,Arugam Bay,-15.161331458470313,-26.850312526434436
2024-10-01,Arugam Bay,-15.335747519783961,-26.5098937555322
2024-11-01,Arugam Bay,-16.214419982047097,-27.056001163558744
2024-12-01,Arugam Bay,-16.65200410364388,-27.279169634033607
2024-01-01,Dalawella,-14.820639224657915,-27.283556306454972
2024-02-01,Dalawella,-15.40382804384603,-27.296493172318755
2024-03-01,Dalawella,-16.456401839525917,-27.448576270298826
2024-04-01,Dalawella,-17.756878074060946,-27.406127681329927
2024-05-01,Dalawella,-13.086099225183126,-25.882171417837565
2024-06-01,Dalawella,-12.970766133967814,-26.39405115137637
2024-07-01,Dalawella,-14.858610538063317,-27.112020359245278
2024-08-01,Dalawella,-13.446863639626782,-26.848771906516454
2024-09-01,Dalawella,-12.185423048034012,-26.38457438703058
2024-10-01,Dalawella,-13.82841063395583,-26.616043573957935
2024-11-01,Dalawella,-15.108827934417054,-27.302087115908144
2024-12-01,Dalawella,-18.11874482923405,-27.62074754160132
2024-01-01,Devils rock,-14.080801603111603,-26.767810525251416
2024-02-01,Devils rock,-14.534293982286897,-26.736849362846506
2024-03-01,Devils rock,-15.787093832791479,-26.84537908723867
2024-04-01,Devils rock,-17.58974980528137,-26.927605652649408
2024-05-01,Devils rock,-12.827730719598154,-25.699059864452945
2024-06-01,Devils rock,-12.665868203927873,-25.984932331480515
2024-07-01,Devils rock,-14.618841341246195,-26.658236705661054
2024-08-01,Devils rock,-13.24206585924116,-26.421238631952274
2024-09-01,Devils rock,-11.936740029605625,-25.930451231389725
2024-10-01,Devils rock,-13.451766262428462,-26.13931697474766
2024-11-01,Devils rock,-14.774205668175814,-26.795087457197404
2024-12-01,Devils rock,-18.035100016183282,-27.15333976363142
2024-01-01,"Dewata, Galle",-13.893080128131395,-24.948627445136356
2024-02-01,"Dewata, Galle",-14.159381509066494,-24.811139269302313
2024-03-01,"Dewata, Galle",-14.8258583995715,-25.00025074035036
2024-04-01,"Dewata, Galle",-15.69888102289403,-24.85364495456186
2024-05-01,"Dewata, Galle",-12.028235286690553,-23.61774476566941
2024-06-01,"Dewata, Galle",-12.007101399137778,-24.098900083985527
2024-07-01,"Dewata, Galle",-13.575614911853144,-24.696259392574603
2024-08-01,"Dewata, Galle",-12.57835735362179,-24.479115686829115
2024-09-01,"Dewata, Galle",-11.313660457666687,-24.059527688572945
2024-10-01,"Dewata, Galle",-12.80163865291088,-24.300242063607573
2024-11-01,"Dewata, Galle",-13.761482196675779,-24.869752857701027
2024-12-01,"Dewata, Galle",-15.884285686133648,-25.14527317092787
2024-01-01,Elephant rock,-15.510606981896824,-25.678493259611493
2024-02-01,Elephant rock,-15.478907207889915,-25.438210366565393
2024-03-01,Elephant rock,-15.781500274002846,-26.306346070522753
2024-04-01,Elephant rock,-15.879343023912519,-26.466805811983676
2024-05-01,Elephant rock,-15.491582200324775,-25.928050358565432
2024-06-01,Elephant rock,-14.75712825330062,-25.182134751853713
2024-07-01,Elephant rock,-15.291996456143044,-25.66853312162655
2024-08-01,Elephant rock,-15.414853521146886,-26.092308366014976
2024-09-01,Elephant rock,-14.723582645748744,-26.11382530860165
2024-10-01,Elephant rock,-14.834849968426894,-25.736497012780912
2024-11-01,Elephant rock,-15.638167827158082,-26.1939327118382
2024-12-01,Elephant rock,-16.240561953802867,-26.48534196050744
2024-01-01,Hikkaduwa,-15.501429104015932,-26.61263312769814
2024-02-01,Hikkaduwa,-16.116737689270852,-26.564422810883244
2024-03-01,Hikkaduwa,-16.980813652024583,-26.686113207323128
2024-04-01,Hikkaduwa,-16.15071200855927,-26.355746997551268
2024-05-01,Hikkaduwa,-13.041834791501826,-25.10310139898044
2024-06-01,Hikkaduwa,-13.586662172516576,-25.79181335415322
2024-07-01,Hikkaduwa,-15.311271691456975,-26.369199508363906
2024-08-01,Hikkaduwa,-14.699831860068413,-26.23188977728975
2024-09-01,Hikkaduwa,-12.589217582801137,-25.691639681130468
2024-10-01,Hikkaduwa,-14.68431408565646,-26.044027117714244
2024-11-01,Hikkaduwa,-15.715703910418107,-26.57215101639572
2024-12-01,Hikkaduwa,-16.59670545307472,-26.76632096290352
2024-01-01,Hiriketiya,-12.036544883572535,-25.90271942840186
2024-02-01,Hiriketiya,-11.690863052176539,-25.81418068465318
2024-03-01,Hiriketiya,-12.839754384902527,-26.067503634462078
2024-04-01,Hiriketiya,-15.22355467685142,-26.742965361275754
2024-05-01,Hiriketiya,-12.142079017676762,-25.538678230684532
2024-06-01,Hiriketiya,-12.194380642241955,-25.8708671386421
2024-07-01,Hiriketiya,-15.121746110893298,-26.531460789355755
2024-08-01,Hiriketiya,-12.849703057104295,-26.32887646337949
2024-09-01,Hiriketiya,-11.920511181663244,-26.104684558067685
2024-10-01,Hiriketiya,-12.420196425654517,-25.96926256686795
2024-11-01,Hiriketiya,-13.441207816471197,-26.369150459683325
2024-12-01,Hiriketiya,-13.371680427848862,-26.449676826750494
2024-01-01,Bentota,-15.89989306167739,-25.230157090373382
2024-02-01,Bentota,-15.14272640770793,-25.1707366787944
2024-03-01,Bentota,-17.088737056216385,-25.43330659541732
2024-04-01,Bentota,-15.780927525581289,-25.01440679951667
2024-05-01,Bentota,-13.19568575174419,-24.310269341756783
2024-06-01,Bentota,-14.347344944339584,-24.818958020682008
2024-07-01,Bentota,-15.312553887650834,-25.121604438667806
2024-08-01,Bentota,-14.486420155234478,-24.980163955242215
2024-09-01,Bentota,-12.980111469917494,-24.874830456423414
2024-10-01,Bentota,-15.232004467448869,-25.003364770714303
2024-11-01,Bentota,-15.72942666627862,-25.233422281010494
2024-12-01,Bentota,-15.119580878818748,-24.98399164103281
2024-01-01,Koggala Lefts,-13.609072394874817,-25.750848724410695
2024-02-01,Koggala Lefts,-14.2498797647792,-25.74178677293681
2024-03-01,Koggala Lefts,-15.379603608757796,-25.86064866402525
2024-04-01,Koggala Lefts,-16.776252083598347,-25.87858934397426
2024-05-01,Koggala Lefts,-12.471952323109036,-24.639005635325226
2024-06-01,Koggala Lefts,-12.232104849456649,-24.96285411792903
2024-07-01,Koggala Lefts,-13.997247892910986,-25.62597621052187
2024-08-01,Koggala Lefts,-12.705457879953334,-25.38396099021897
2024-09-01,Koggala Lefts,-11.554730427957349,-24.944239977885044
2024-10-01,Koggala Lefts,-12.985501986744628,-25.1378620549647
2024-11-01,Koggala Lefts,-14.195616414045965,-25.77436990344467
2024-12-01,Koggala Lefts,-16.940397392248308,-26.10452340267088
2024-01-01,Ahangama,-13.8755459943403,-26.305502449563452
2024-02-01,Ahangama,-14.436310156952056,-26.291012141552454
2024-03-01,Ahangama,-15.64544892945365,-26.388292221543924
2024-04-01,Ahangama,-17.319593778592996,-26.445268994110673
2024-05-01,Ahangama,-12.670092843088304,-25.233614018495725
2024-06-01,Ahangama,-12.488683439012402,-25.52416871811153
2024-07-01,Ahangama,-14.36360736993338,-26.180006935348356
2024-08-01,Ahangama,-13.047276226609286,-25.947337983569238
2024-09-01,Ahangama,-11.786659731497249,-25.478751570270955
2024-10-01,Ahangama,-13.265189823641709,-25.680053796125335
2024-11-01,Ahangama,-14.55522291654389,-26.327953084084072
2024-12-01,Ahangama,-17.605561091180306,-26.6763027189545
2024-01-01,Madiha,-12.842539135064081,-25.90394705355261
2024-02-01,Madiha,-12.504562122698662,-25.669474352600155
2024-03-01,Madiha,-13.764485108632286,-25.939691387960497
2024-04-01,Madiha,-15.95185469001891,-26.170406995453448
2024-05-01,Madiha,-12.152117869529098,-25.225036923509098
2024-06-01,Madiha,-12.185693754923427,-25.591051371174196
2024-07-01,Madiha,-13.849826637118161,-25.864414639357005
2024-08-01,Madiha,-12.637010913044875,-25.76307729159539
2024-09-01,Madiha,-11.505046522396416,-25.37587844828125
2024-10-01,Madiha,-12.50138302172331,-25.391265755250032
2024-11-01,Madiha,-13.481595652842618,-25.95864872107465
2024-12-01,Madiha,-15.580878153229396,-26.164549254841603
2024-01-01,Matara,-11.930673156264772,-25.09948114652457
2024-02-01,Matara,-11.47929669824343,-24.86987036754282
2024-03-01,Matara,-12.776857803880283,-25.19716326802287
2024-04-01,Matara,-14.771219976715155,-25.52129382485937
2024-05-01,Matara,-11.783644338797467,-24.626359010729765
2024-06-01,Matara,-11.736202328145884,-24.93258948050647
2024-07-01,Matara,-13.698060748548626,-25.224625468280156
2024-08-01,Matara,-12.145250453051682,-25.15862017841005
2024-09-01,Matara,-11.316302148317279,-24.899308613849204
2024-10-01,Matara,-11.935267048876565,-24.77819713337969
2024-11-01,Matara,-12.777195029322229,-25.24575597883403
2024-12-01,Matara,-13.596059023401745,-25.386224562781823
2024-01-01,Midigama Left (market),-13.741443445926093,-26.15544061511438
2024-02-01,Midigama Left (market),-14.128180591095399,-26.10792306721572
2024-03-01,Midigama Left (market),-15.264725252758376,-26.200315315652478
2024-04-01,Midigama Left (market),-17.03123900170895,-26.285080409721747
2024-05-01,Midigama Left (market),-12.546258387597875,-25.14241152505928
2024-06-01,Midigama Left (market),-12.396615949865168,-25.39828301159611
2024-07-01,Midigama Left (market),-14.26066485153145,-26.034165467277262
2024-08-01,Midigama Left (market),-12.968999877795866,-25.818386204394262
2024-09-01,Midigama Left (market),-11.700834513089466,-25.34217167477661
2024-10-01,Midigama Left (market),-13.136755634596117,-25.52350895394843
2024-11-01,Midigama Left (market),-14.368159010964177,-26.159683288106862
2024-12-01,Midigama Left (market),-17.419919286035164,-26.503710229454242
2024-01-01,Midigama Right,-13.887968722138426,-26.401878290027433
2024-02-01,Midigama Right,-14.320606247580256,-26.366213807041312
2024-03-01,Midigama Right,-15.512283322818538,-26.461995653927108
2024-04-01,Midigama Right,-17.274208861862586,-26.543127558031003
2024-05-01,Midigama Right,-12.667200933327907,-25.361764632773546
2024-06-01,Midigama Right,-12.511667386049488,-25.632526963590667
2024-07-01,Midigama Right,-14.412895274391634,-26.285552366192846
2024-08-01,Midigama Right,-13.079784192207688,-26.0590137202497
2024-09-01,Midigama Right,-11.797716893439075,-25.57284013270398
2024-10-01,Midigama Right,-13.273668956148821,-25.773594327198694
2024-11-01,Midigama Right,-14.543900148987985,-26.417373267434233
2024-12-01,Midigama Right,-17.680382484747017,-26.76940900668647
2024-01-01,Mirissa,-13.3638845647757,-26.227487298234376
2024-02-01,Mirissa,-13.21099040910675,-26.032829180833424
2024-03-01,Mirissa,-14.391090289398978,-26.223656061931564
2024-04-01,Mirissa,-16.55225120201371,-26.388642654603704
2024-05-01,Mirissa,-12.3457431530036,-25.350439522664143
2024-06-01,Mirissa,-12.345923074752285,-25.700480242771985
2024-07-01,Mirissa,-13.947998572906137,-26.09382076894815
2024-08-01,Mirissa,-12.900507880856324,-25.982359836354465
2024-09-01,Mirissa,-11.607670722013342,-25.515154495021232
2024-10-01,Mirissa,-12.83226729474318,-25.617274834339423
2024-11-01,Mirissa,-13.943702549142454,-26.217805386892177
2024-12-01,Mirissa,-16.645109459561624,-26.470550990874074
2024-01-01,Okanda,-15.286519065104551,-25.79722638663723
2024-02-01,Okanda,-15.100945614324242,-25.562447388996716
2024-03-01,Okanda,-15.295667249806272,-25.94269735307983
2024-04-01,Okanda,-15.687094103936625,-26.095916642688294
2024-05-01,Okanda,-15.171758299807005,-25.628112642381282
2024-06-01,Okanda,-13.864461179949586,-24.888140904198476
2024-07-01,Okanda,-13.624725522570397,-24.845504259966496
2024-08-01,Okanda,-14.39629925982574,-25.344629741883114
2024-09-01,Okanda,-13.491276213294704,-24.860249493377292
2024-10-01,Okanda,-13.899447189128901,-25.05982053591493
2024-11-01,Okanda,-15.123908623110877,-25.306294128738912
2024-12-01,Okanda,-16.679905322454804,-26.196076742418565
2024-01-01,Peanuts Farm,-15.498234928678082,-25.726960806777825
2024-02-01,Peanuts Farm,-15.481443007628396,-25.48309555693872
2024-03-01,Peanuts Farm,-15.75880749566011,-26.276303036370564
