Name,Latitude,Longitude,Direction,Type,Experience
Arugam Bay,6.84073903,81.83699875,Right,Point-break,All surfers
"Dewata, Galle",6.03265123,80.23846466,Right and left,Point-break,All surfers
Hikkaduwa,6.137770234,80.09906592,Right and left,Reef-coral,All surfers
Hiriketiya,5.962386801,80.70681094,Left,Point-break,All surfers
Bentota,6.425187899,79.99517158,Right and left,Beach-break,Experienced surfers
Ahangama,5.971969733,80.3637354,Right and left,Reef-coral,Experienced surfers
Madiha,5.93696695,80.51062855,Left,Reef-coral,Experienced surfers
Matara,5.938854101,80.57029861,Right,Sand-bar,All surfers
Mirissa,5.944910464,80.45784278,Right,Reef-coral,All surfers
Okanda,6.650268286,81.77620686,Right,Point-break,Experienced surfers
Unawatuna,6.008332771,80.24446294,Right,Reef-rocky,All surfers
Weligama,5.972030384,80.43099938,Right and left,Beach-break,All surfers
